mensaje,numero,rssi (dBm),snr (dB),size (bytes)
"1M 4MSPS:0",0,-35,10.75,10
"1M 4MSPS:01",1,-31,10.75,11
"1M 4MSPS:02",2,-30,11.50,11
"1M 4MSPS:03",3,-30,11.25,11
"1M 4MSPS:04",4,-30,11.25,11
"1M 4MSPS:05",5,-31,11.25,11
"1M 4MSPS:06",6,-30,11.50,11
"1M 4MSPS:07",7,-31,10.75,11
"1M 4MSPS:08",8,-31,11.00,11
"1M 4MSPS:09",9,-31,11.25,11
"1M 4MSPS:010",10,-31,10.50,12
"1M 4MSPS:011",11,-31,10.75,12
"1M 4MSPS:012",12,-31,10.25,12
"1M 4MSPS:013",13,-32,10.50,12
"1M 4MSPS:014",14,-31,11.00,12
"1M 4MSPS:015",15,-36,10.75,12
"1M 4MSPS:016",16,-31,10.25,12
"1M 4MSPS:017",17,-31,10.00,12
"1M 4MSPS:018",18,-31,10.75,12
"1M 4MSPS:019",19,-36,10.50,12
"1M 4MSPS:020",20,-30,10.50,12
"1M 4MSPS:021",21,-31,10.50,12
"1M 4MSPS:022",22,-31,10.25,12
"1M 4MSPS:023",23,-31,10.50,12
"1M 4MSPS:024",24,-31,10.50,12
"1M 4MSPS:025",25,-31,11.00,12
"1M 4MSPS:026",26,-31,10.25,12
"1M 4MSPS:027",27,-31,10.25,12
"1M 4MSPS:028",28,-31,11.25,12
"1M 4MSPS:029",29,-31,11.00,12
"1M 4MSPS:030",30,-31,10.50,12
"1M 4MSPS:031",31,-32,10.25,12
"1M 4MSPS:032",32,-31,12.00,12
"1M 4MSPS:033",33,-31,10.75,12
"1M 4MSPS:034",34,-31,10.25,12
"1M 4MSPS:035",35,-31,10.75,12
"1M 4MSPS:036",36,-31,10.50,12
"1M 4MSPS:037",37,-30,10.75,12
"1M 4MSPS:038",38,-30,11.00,12
"1M 4MSPS:039",39,-31,10.75,12
"1M 4MSPS:040",40,-31,10.50,12
"1M 4MSPS:042",42,-33,10.75,12
"1M 4MSPS:043",43,-31,10.50,12
"1M 4MSPS:044",44,-31,10.50,12
"1M 4MSPS:045",45,-31,10.75,12
"1M 4MSPS:046",46,-31,10.50,12
"1M 4MSPS:047",47,-31,10.25,12
"1M 4MSPS:048",48,-31,10.75,12
"1M 4MSPS:050",50,-31,10.00,12
"1M 4MSPS:051",51,-31,10.50,12
"1M 4MSPS:052",52,-31,10.50,12
"1M 4MSPS:053",53,-31,11.00,12
"1M 4MSPS:054",54,-36,10.50,12
"1M 4MSPS:055",55,-31,10.75,12
"1M 4MSPS:056",56,-36,10.50,12
"1M 4MSPS:057",57,-31,10.75,12
"1M 4MSPS:058",58,-31,10.50,12
"1M 4MSPS:059",59,-31,10.25,12
"1M 4MSPS:060",60,-31,10.50,12
"1M 4MSPS:061",61,-31,10.75,12
"1M 4MSPS:062",62,-31,10.25,12
"1M 4MSPS:063",63,-31,10.25,12
"1M 4MSPS:064",64,-31,10.75,12
"1M 4MSPS:065",65,-31,10.00,12
"1M 4MSPS:066",66,-31,10.75,12
"1M 4MSPS:068",68,-35,10.75,12
"1M 4MSPS:069",69,-31,10.50,12
"1M 4MSPS:070",70,-31,11.00,12
"1M 4MSPS:071",71,-37,10.75,12
"1M 4MSPS:072",72,-31,10.75,12
"1M 4MSPS:073",73,-31,10.75,12
"1M 4MSPS:074",74,-31,11.00,12
"1M 4MSPS:075",75,-31,11.00,12
"1M 4MSPS:076",76,-31,13.25,12
"1M 4MSPS:077",77,-36,10.75,12
"1M 4MSPS:078",78,-31,11.00,12
"1M 4MSPS:079",79,-31,11.00,12
"1M 4MSPS:080",80,-31,10.25,12
"1M 4MSPS:081",81,-31,10.50,12
"1M 4MSPS:082",82,-31,10.25,12
"1M 4MSPS:083",83,-31,10.50,12
"1M 4MSPS:084",84,-31,10.50,12
"1M 4MSPS:085",85,-31,10.50,12
"1M 4MSPS:086",86,-31,10.00,12
"1M 4MSPS:087",87,-31,10.25,12
"1M 4MSPS:088",88,-31,10.50,12
"1M 4MSPS:089",89,-32,11.00,12
"1M 4MSPS:090",90,-30,10.25,12
"1M 4MSPS:091",91,-31,10.50,12
"1M 4MSPS:093",93,-33,10.75,12
"1M 4MSPS:094",94,-30,10.75,12
"1M 4MSPS:095",95,-31,10.75,12
"1M 4MSPS:096",96,-30,10.50,12
"1M 4MSPS:097",97,-30,10.75,12
"1M 4MSPS:098",98,-36,10.50,12
"1M 4MSPS:099",99,-30,11.25,12
"1M 4MSPS:0100",100,-34,12.50,13
"1M 4MSPS:0101",101,-32,11.75,13
"1M 4MSPS:0102",102,-30,11.25,13
"1M 4MSPS:0103",103,-29,12.00,13
