mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum
"Mapuka 8MSPS:014",14,-2.24909e-06,-0.281247,-0.190077,0.688042,0,0
"Mapuka 8MSPS:015",15,-1.75486e-06,9.78054,-0.171298,-1.75543,0,0
"Mapuka 8MSPS:016",16,9.10966e-07,85.1138,-0.187811,-0.62574,0,0
"Mapuka 8MSPS:017",17,-2.84343e-06,53.6445,-0.176265,-0.435763,0,0
"Mapuka 8MSPS:018",18,-1.74257e-06,6.78207,-0.190293,-0.548984,0,0
"Mapuka 8MSPS:019",19,-5.57666e-07,10.9302,-0.184751,-1.48719,0,0
"Mapuka 8MSPS:020",20,1.04459e-08,46.0012,-0.191615,-1.32798,0,0
"Mapuka 8MSPS:021",21,2.51088e-06,99.3137,-0.195341,-0.492854,0,0
"Mapuka 8MSPS:022",22,3.34847e-06,16.4184,-0.193001,-1.08479,0,0
"Mapuka 8MSPS:023",23,-1.24765e-06,26.8439,-0.181393,-1.23872,0,0
"Mapuka 8MSPS:024",24,-2.77883e-06,43.6525,-0.173469,-1.52952,0,0
"Mapuka 8MSPS:025",25,-1.14637e-06,104.857,-0.1698,-1.21179,0,0
"Mapuka 8MSPS:026",26,1.16618e-07,90.0145,-0.181303,-5.03626,0,0
"Mapuka 8MSPS:027",27,-1.63072e-06,-0.203952,-0.192164,-2.00801,0,0
"Mapuka 8MSPS:028",28,3.38059e-06,64.4225,-0.194971,-5.1724,0,0
"Mapuka 8MSPS:029",29,-1.17714e-05,116.528,-1.21263,-4.35147,0,0
"Mapuka 8MSPS:030",30,-1.09454e-06,83.8631,-0.155541,-1.25426,0,0
"Mapuka 8MSPS:031",31,3.46538e-06,101.433,-0.19518,-2.54031,0,0
"Mapuka 8MSPS:032",32,-1.1263e-06,76.8591,-0.189278,-3.45873,0,0
"Mapuka 8MSPS:033",33,-6.20821e-07,55.9223,-0.181997,-4.80333,0,0
"Mapuka 8MSPS:034",34,2.59347e-06,18.3241,-0.194414,-3.78799,0,0
"Mapuka 8MSPS:035",35,2.33669e-06,34.292,-0.18448,0.789644,0,0
"Mapuka 8MSPS:036",36,8.58291e-08,46.0106,-0.179474,-2.74701,0,0
"Mapuka 8MSPS:037",37,-2.48531e-06,23.6892,-0.19741,-1.83176,0,0
"Mapuka 8MSPS:038",38,-3.86285e-06,57.517,-0.195302,-3.34551,0,0
"Mapuka 8MSPS:039",39,-7.25047e-07,108.909,-0.180778,-8.25866,0,0
"Mapuka 8MSPS:040",40,-1.1829e-05,46.5207,-1.20652,-6.52528,0,0
"Mapuka 8MSPS:041",41,3.50126e-06,49.4375,-0.204358,-6.32604,0,0
"Mapuka 8MSPS:043",43,3.66535e-06,12.4581,-0.189851,-7.89843,0,0
"Mapuka 8MSPS:044",44,-2.76128e-06,44.6547,-0.170863,-7.5764,0,0
"Mapuka 8MSPS:045",45,-2.97801e-06,48.6276,-0.188002,-4.50849,0,0
"Mapuka 8MSPS:046",46,3.90029e-06,72.4874,-0.200065,-4.09709,0,0
"Mapuka 8MSPS:047",47,-5.91978e-07,14.9259,-0.185743,-5.87922,0,0
"Mapuka 8MSPS:048",48,3.86318e-06,40.4828,-0.181408,-5.93935,0,0
"Mapuka 8MSPS:049",49,7.86009e-07,22.0981,-0.187872,-3.43057,0,0
"Mapuka 8MSPS:050",50,2.45571e-06,124.307,-0.184032,-3.25829,0,0
"Mapuka 8MSPS:051",51,-7.4639e-07,45.9066,-0.207566,-8.67128,0,0
"Mapuka 8MSPS:052",52,3.48357e-06,13.4353,-0.219049,-8.24067,0,0
"Mapuka 8MSPS:053",53,-3.00409e-07,62.9623,-0.186469,-5.15824,0,0
"Mapuka 8MSPS:054",54,-2.58398e-06,70.6769,-0.210327,-0.303262,0,0
"Mapuka 8MSPS:055",55,-2.41047e-06,21.6986,-0.185351,-2.08369,0,0
"Mapuka 8MSPS:056",56,-2.48494e-07,100.969,-0.174419,-1.05066,0,0
"Mapuka 8MSPS:057",57,-1.16794e-05,17.5394,-1.18974,-3.49105,0,0
"Mapuka 8MSPS:058",58,1.60055e-06,71.2,-0.185304,-2.86233,0,0
"Mapuka 8MSPS:059",59,-2.52349e-06,27.6845,-0.178246,-3.76882,0,0
