mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios,cfo_int2,sto_estimate2
"120M_4MS_500_12:0",0,,1176.01,-1.47985,6.75346,0,0,1175,8869,1108,10463,-1594
"120M_4MS_500_12:01",1,,3228.29,-1.48492,5.40278,0,0,3227,17418,2177,10364,7054
"120M_4MS_500_12:02",2,,3357.97,-1.43311,-2.10157,0,0,3357,21326,2665,10135,11191
"120M_4MS_500_12:03",3,,1077.72,-1.47692,-0.686309,0,0,1077,7819,977,10840,-3021
"120M_4MS_500_12:04",4,,2600.8,-1.48398,5.44162,0,0,2600,17509,2188,10730,6779
"120M_4MS_500_12:05",5,,195.521,-2.48803,9.39322,0,0,194,26759,3344,10664,16095
"120M_4MS_500_12:06",6,,3649.36,-1.49366,-2.07203,0,0,3648,2555,319,10934,-8379
"120M_4MS_500_12:07",7,,4043.22,-1.47862,-0.717763,0,0,4042,20467,2558,9770,10697
"120M_4MS_500_12:08",8,,4065.67,-2.47332,-1.10467,0,0,4064,18287,2285,9452,8835
"120M_4MS_500_12:09",9,,3451.1,-1.47394,1.05989,0,0,3450,17914,2239,10727,7187
"120M_4MS_500_12:010",10,,2659.62,-1.44348,-0.801008,0,0,2659,16852,2106,9783,7069
"120M_4MS_500_12:011",11,,162.47,-1.48272,4.28071,0,0,161,3246,405,9284,-6038
"120M_4MS_500_12:012",12,,3400.22,-1.49724,-1.00966,0,0,3399,23968,2996,10047,13921
"120M_4MS_500_12:013",13,,2027.1,-2.48085,1.65538,0,0,2025,8910,1113,9718,-808
"120M_4MS_500_12:014",14,,1655.58,-1.5046,5.68773,0,0,1654,8275,1034,9518,-1243
"120M_4MS_500_12:015",15,,1846.28,-2.49794,5.25063,0,0,1844,8980,1122,10749,-1769
"120M_4MS_500_12:016",16,,898.979,-1.49817,-0.0795341,0,0,898,6063,757,10191,-4128
"120M_4MS_500_12:017",17,,1176.34,-2.48245,1.7859,0,0,1174,9531,1191,10135,-604
