mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios,cfo_int2,sto_estimate2
"60M_4MS_500_12:0",0,,1883.04,-2.47163,6.25458,0,0,1881,16045,2005,9280,6765
"60M_4MS_500_12:01",1,,3681.75,-2.48125,9.79867,0,0,3680,18165,2270,10930,7235
"60M_4MS_500_12:02",2,,396.917,-2.49562,5.95355,0,0,395,14608,1826,9643,4965
"60M_4MS_500_12:03",3,,3013.8,-1.51537,-1.83545,0,0,3012,17498,2187,10927,6571
"60M_4MS_500_12:04",4,,998.714,-1.53492,1.06335,0,0,997,7115,889,9282,-2167
"60M_4MS_500_12:05",5,,2986.74,-1.53856,1.77809,0,0,2985,18264,2283,9288,8976
"60M_4MS_500_12:06",6,,3830.19,-1.52732,0.482417,0,0,3828,32306,4038,9338,22968
"60M_4MS_500_12:07",7,,703.365,-1.52482,-1.02098,0,0,701,2821,352,9832,-7011
"60M_4MS_500_12:08",8,,3723.75,-2.45627,0.467689,0,0,3722,29385,3673,10930,18455
"60M_4MS_500_12:09",9,,3798.89,-2.49343,0.69642,0,0,3797,29515,3689,9291,20224
"60M_4MS_500_12:010",10,,3588.43,-1.41339,0.486596,0,0,3587,26170,3271,9299,16871
"60M_4MS_500_12:011",11,,680.911,-2.49601,8.19889,0,0,679,15160,1895,10943,4217
"60M_4MS_500_12:012",12,,3049.69,-1.50027,2.04408,0,0,3048,17231,2153,10099,7132
"60M_4MS_500_12:013",13,,3662.78,-2.47111,8.8126,0,0,3661,18160,2270,10934,7226
"60M_4MS_500_12:014",14,,1647.72,-1.487,7.53647,0,0,1647,16133,2016,9282,6851
"60M_4MS_500_12:015",15,,2775.15,-2.45778,8.60609,0,0,2773,16958,2119,10932,6026
"60M_4MS_500_12:016",16,,3942.57,-1.50791,-0.105853,0,0,3941,18119,2264,10510,7609
"60M_4MS_500_12:017",17,,1060.31,-1.50479,5.64227,0,0,1058,7891,986,10930,-3039
"60M_4MS_500_12:018",18,,2902.55,-1.46791,6.9996,0,0,2902,17387,2173,9295,8092
"60M_4MS_500_12:019",19,,3679.89,-1.52346,1.31654,0,0,3678,18168,2271,10930,7238
