mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios,cfo_int2,sto_estimate2
"1M_2MS_125_7:0",0,,115.046,-0.191476,11.7293,0,0,115,914,57,585,329
"1M_2MS_125_7:01",1,,3.79927,-0.186228,10.9905,0,0,4,978,61,585,393
"1M_2MS_125_7:02",2,,12.5689,-1.19321,10.7908,0,0,12,1313,82,566,747
"1M_2MS_125_7:03",3,,15.9006,-0.190022,12.3974,0,0,16,1955,122,584,1371
"1M_2MS_125_7:04",4,,63.6022,-0.202028,12.0072,0,0,64,474,29,568,-94
"1M_2MS_125_7:05",5,,47.1189,-0.194627,11.8244,0,0,47,441,27,584,-143
"1M_2MS_125_7:06",6,,6.18949,-0.189708,11.3238,0,0,6,1254,78,567,687
"1M_2MS_125_7:07",7,,16.5844,-1.19975,10.9051,0,0,16,1119,69,566,553
"1M_2MS_125_7:08",8,,61.377,-0.188027,11.2543,0,0,61,52,3,566,-514
"1M_2MS_125_7:09",9,,18.895,-0.194053,11.5561,0,0,19,1420,88,568,852
"1M_2MS_125_7:010",10,,115.692,-0.189944,11.6472,0,0,116,712,44,568,144
"1M_2MS_125_7:011",11,,79.5487,-0.206152,12.1219,0,0,80,725,45,588,137
"1M_2MS_125_7:012",12,,110.73,-0.189928,11.8577,0,0,111,1100,68,568,532
"1M_2MS_125_7:013",13,,53.9368,-0.195063,11.0158,0,0,54,1981,123,584,1397
"1M_2MS_125_7:014",14,,7.19533,-0.186774,10.8393,0,0,7,996,62,567,429
"1M_2MS_125_7:015",15,,10.9251,-0.194839,10.9552,0,0,11,1080,67,586,494
"1M_2MS_125_7:016",16,,0.722372,-0.190596,11.7209,0,0,1,929,58,568,361
"1M_2MS_125_7:017",17,,4.98411,-0.189347,13.0478,0,0,5,997,62,585,412
"1M_2MS_125_7:018",18,,126.304,-0.191213,11.4093,0,0,126,1094,68,566,528
"1M_2MS_125_7:019",19,,8.45102,-0.201082,11.2603,0,0,8,990,61,566,424
"1M_2MS_125_7:020",20,,69.6938,-0.200899,10.7987,0,0,70,229,14,568,-339
"1M_2MS_125_7:021",21,,96.0166,-0.196525,10.5907,0,0,96,606,37,585,21
"1M_2MS_125_7:022",22,,46.7158,-0.187448,10.9662,0,0,47,1865,116,568,1297
"1M_2MS_125_7:023",23,,1.9028,-0.192246,11.3776,0,0,2,910,56,568,342
"1M_2MS_125_7:024",24,,51.6094,-0.196812,11.5591,0,0,52,1034,64,568,466
"1M_2MS_125_7:025",25,,80.3065,-0.190262,8.97947,0,0,80,1075,67,566,509
"1M_2MS_125_7:026",26,,24.4013,-0.201415,10.4657,0,0,24,1014,63,566,448
"1M_2MS_125_7:027",27,,115.255,-0.202091,10.4367,0,0,115,1029,64,584,445
"1M_2MS_125_7:028",28,,94.2789,-0.18899,10.7383,0,0,94,1089,68,566,523
"1M_2MS_125_7:029",29,,108.956,-0.192836,11.4641,0,0,109,1195,74,585,610
"1M_2MS_125_7:030",30,,32.6363,-0.201236,11.8308,0,0,33,1014,63,585,429
"1M_2MS_125_7:031",31,,79.1086,-0.196339,11.5258,0,0,79,1076,67,585,491
"1M_2MS_125_7:032",32,,46.528,-0.195577,11.1586,0,0,47,1863,116,587,1276
"1M_2MS_125_7:033",33,,32.4547,-0.203434,10.7399,0,0,32,1016,63,566,450
"1M_2MS_125_7:034",34,,115.486,-0.203287,10.5814,0,0,115,914,57,565,349
"1M_2MS_125_7:035",35,,72.3146,-0.199052,10.8765,0,0,72,233,14,567,-334
"1M_2MS_125_7:036",36,,57.854,-0.192151,11.064,0,0,58,2043,127,584,1459
"1M_2MS_125_7:037",37,,66.6894,-0.192312,11.9173,0,0,67,658,41,568,90
"1M_2MS_125_7:038",38,,51.3494,-0.206782,11.4013,0,0,51,509,31,566,-57
"1M_2MS_125_7:039",39,,71.0083,-0.19614,10.6106,0,0,71,206,12,568,-362
"1M_2MS_125_7:040",40,,54.081,-0.188345,10.5394,0,0,54,1984,124,584,1400
"1M_2MS_125_7:041",41,,84.4751,-0.198562,10.783,0,0,84,406,25,587,-181
"1M_2MS_125_7:042",42,,118.415,-0.1975,8.47681,0,0,118,762,47,566,196
"1M_2MS_125_7:043",43,,100.665,-0.198017,10.9743,0,0,101,1191,74,568,623
"1M_2MS_125_7:044",44,,72.1105,-0.201087,8.76365,0,0,72,841,52,585,256
"1M_2MS_125_7:045",45,,28.9273,-0.189165,11.8002,0,0,29,1020,63,568,452
"1M_2MS_125_7:046",46,,99.4786,-0.202958,10.7965,0,0,99,1088,68,566,522
"1M_2MS_125_7:047",47,,72.8232,-0.186659,10.5773,0,0,73,615,38,586,29
"1M_2MS_125_7:048",48,,84.1369,-0.193296,10.9079,0,0,84,454,28,586,-132
"1M_2MS_125_7:049",49,,68.4166,-0.199756,10.9426,0,0,68,605,37,589,16
"1M_2MS_125_7:050",50,,2.91349,-0.189514,11.5419,0,0,3,1748,109,584,1164
"1M_2MS_125_7:051",51,,58.2018,-0.195507,11.5687,0,0,58,619,38,584,35
"1M_2MS_125_7:052",52,,15.3286,-0.193053,11.2919,0,0,15,898,56,566,332
"1M_2MS_125_7:053",53,,99.3782,-0.197507,11.236,0,0,99,1092,68,566,526
"1M_2MS_125_7:054",54,,114.047,-0.197002,10.6809,0,0,114,941,58,585,356
"1M_2MS_125_7:055",55,,28.9491,-0.195907,11.4002,0,0,29,1372,85,585,787
"1M_2MS_125_7:056",56,,14.7181,-0.197322,11.2828,0,0,15,1353,84,568,785
"1M_2MS_125_7:057",57,,17.1401,-0.195922,12.2167,0,0,17,929,58,585,344
"1M_2MS_125_7:058",58,,49.6777,-0.200934,11.1726,0,0,50,967,60,568,399
"1M_2MS_125_7:059",59,,2.83516,-0.191203,10.9972,0,0,3,919,57,585,334
"1M_2MS_125_7:060",60,,9.96255,-0.198227,10.4805,0,0,10,1077,67,584,493
"1M_2MS_125_7:061",61,,49.5813,-0.200819,10.6866,0,0,50,1708,106,586,1122
"1M_2MS_125_7:062",62,,58.1151,-0.191779,11.1643,0,0,58,0,0,585,-585
"1M_2MS_125_7:063",63,,47.9102,-0.188472,11.6996,0,0,48,961,60,584,377
"1M_2MS_125_7:064",64,,116.731,-0.189645,11.4576,0,0,117,1447,90,568,879
"1M_2MS_125_7:065",65,,7.48825,-0.202378,11.2788,0,0,7,993,62,566,427
"1M_2MS_125_7:066",66,,111.235,-0.198588,10.7346,0,0,111,855,53,585,270
"1M_2MS_125_7:067",67,,66.6201,-0.199219,11.2105,0,0,67,1918,119,587,1331
"1M_2MS_125_7:068",68,,121.676,-0.202899,11.494,0,0,122,820,51,568,252
"1M_2MS_125_7:069",69,,4.79381,-0.189882,11.9749,0,0,5,994,62,568,426
"1M_2MS_125_7:070",70,,53.2305,-0.198463,11.6122,0,0,53,965,60,584,381
"1M_2MS_125_7:071",71,,63.7345,-0.18536,11.2565,0,0,64,601,37,568,33
"1M_2MS_125_7:072",72,,94.4265,-0.199486,8.99381,0,0,94,1089,68,566,523
"1M_2MS_125_7:073",73,,33.581,-0.203696,10.2627,0,0,34,1415,88,567,848
"1M_2MS_125_7:074",74,,122.405,-0.202586,10.2008,0,0,122,1037,64,566,471
"1M_2MS_125_7:075",75,,23.6261,-0.198079,11.4647,0,0,24,1496,93,568,928
"1M_2MS_125_7:076",76,,19.8463,-0.194311,11.0589,0,0,20,932,58,585,347
"1M_2MS_125_7:077",77,,116.558,-1.19937,9.12003,0,0,116,1444,90,566,878
"1M_2MS_125_7:078",78,,31.3365,-0.201956,11.0299,0,0,31,1017,63,566,451
"1M_2MS_125_7:079",79,,58.0541,-0.194911,10.7182,0,0,58,56,3,585,-529
"1M_2MS_125_7:080",80,,95.7678,-0.186331,10.6283,0,0,96,1223,76,568,655
"1M_2MS_125_7:081",81,,25.5818,-0.198019,10.9202,0,0,26,1016,63,587,429
"1M_2MS_125_7:082",82,,35.6881,-0.183728,12.0154,0,0,36,1689,105,568,1121
"1M_2MS_125_7:083",83,,65.6708,-0.201115,12.0839,0,0,66,1960,122,568,1392
"1M_2MS_125_7:084",84,,100.579,-0.196719,11.5582,0,0,101,1086,67,568,518
