mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios,cfo_int2,sto_estimate2
"60M_2MS_125_7:0",0,,113.68,-0.162395,7.11452,0,0,114,2013,125,584,1429
"60M_2MS_125_7:01",1,,35.8684,-0.160301,6.36895,0,0,36,967,60,570,397
"60M_2MS_125_7:02",2,,10.3709,-0.183894,11.2376,0,0,10,1434,89,581,853
"60M_2MS_125_7:03",3,,5.07947,-0.182899,13.5163,0,0,5,1000,62,568,432
"60M_2MS_125_7:04",4,,122.822,-0.174929,5.62919,0,0,123,1688,105,585,1103
"60M_2MS_125_7:05",5,,6.53446,-1.18655,8.60811,0,0,6,1671,104,590,1081
"60M_2MS_125_7:06",6,,96.2702,-0.180655,10.4155,0,0,96,13,0,564,-551
"60M_2MS_125_7:07",7,,2.88066,-0.191588,13.7805,0,0,3,919,57,568,351
"60M_2MS_125_7:08",8,,113.927,-0.187619,13.0248,0,0,114,1601,100,585,1016
"60M_2MS_125_7:09",9,,23.6277,-0.183852,14.1585,0,0,24,1837,114,569,1268
"60M_2MS_125_7:010",10,,57.6544,-0.200955,9.07004,0,0,58,966,60,568,398
"60M_2MS_125_7:011",11,,38.722,-0.180316,10.4129,0,0,39,1090,68,585,505
"60M_2MS_125_7:012",12,,78.0511,-0.184217,9.51358,0,0,78,1483,92,585,898
"60M_2MS_125_7:013",13,,102.499,-0.203317,11.9163,0,0,102,1430,89,582,848
"60M_2MS_125_7:014",14,,64.7932,-0.177967,8.06316,0,0,65,815,50,568,247
"60M_2MS_125_7:015",15,,60.3911,-0.198631,10.0862,0,0,60,1218,76,588,630
"60M_2MS_125_7:016",16,,55.8733,-0.188644,11.7572,0,0,56,1667,104,585,1082
"60M_2MS_125_7:017",17,,75.5238,-0.19497,8.46763,0,0,76,1725,107,587,1138
"60M_2MS_125_7:018",18,,77.4078,-0.196385,9.97065,0,0,77,1660,103,582,1078
