mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios,cfo_int2,sto_estimate2
"60M_8MS_125_7:0",0,,89.1304,-0.194033,11.4534,0,5,89,4837,75,2108,2729
"60M_8MS_125_7:01",1,,72.1039,-0.194839,3.53358,0,0,72,6723,105,2115,4608
"60M_8MS_125_7:02",2,,89.1018,-0.194283,4.58454,0,0,89,4177,65,2110,2067
"60M_8MS_125_7:03",3,,16.9931,-0.195576,5.81811,0,0,17,5780,90,2111,3669
"60M_8MS_125_7:04",4,,56.7073,-0.186428,6.30371,0,0,57,1235,19,2120,-885
"60M_8MS_125_7:05",5,,93.8009,-0.180304,4.7085,0,0,94,150,2,2123,-1973
"60M_8MS_125_7:06",6,,6.02071,-0.195107,6.70609,0,0,6,1286,20,2121,-835
"60M_8MS_125_7:07",7,,81.7159,-0.179156,6.62626,0,0,82,2953,46,2123,830
"60M_8MS_125_7:08",8,,14.2901,-0.191145,5.27248,0,0,14,4093,63,2110,1983
"60M_8MS_125_7:09",9,,95.0388,-0.190346,8.01793,0,0,95,4180,65,2125,2055
"60M_8MS_125_7:010",10,,126.289,-0.192938,10.5007,0,0,126,2825,44,2110,715
"60M_8MS_125_7:011",11,,115.936,-0.185722,11.7506,0,0,116,6470,101,2125,4345
"60M_8MS_125_7:012",12,,64.7793,-0.184704,9.07925,0,0,65,6742,105,2124,4618
"60M_8MS_125_7:013",13,,48.079,-0.189502,9.89792,0,0,48,758,11,2112,-1354
"60M_8MS_125_7:014",14,,120.813,-0.183982,10.3413,0,0,121,4683,73,2124,2559
"60M_8MS_125_7:015",15,,40.3693,-0.20014,10.1608,0,0,40,4825,75,2110,2715
"60M_8MS_125_7:016",16,,88.4878,-0.207413,7.82862,0,0,88,600,9,2041,-1441
"60M_8MS_125_7:017",17,,80.1803,-0.197831,7.01285,0,0,80,3379,52,2110,1269
"60M_8MS_125_7:018",18,,126.267,-0.198325,7.41967,0,0,126,7058,110,2110,4948
"60M_8MS_125_7:019",19,,64.3531,-0.19655,7.46087,0,0,64,2825,44,2110,715
"60M_8MS_125_7:020",20,,3.87574,-0.194379,6.96509,0,0,4,5970,93,2121,3849
"60M_8MS_125_7:021",21,,68.9739,-0.186076,9.95862,0,0,69,1059,16,2123,-1064
"60M_8MS_125_7:022",22,,110.435,-0.191687,9.76461,0,0,110,3406,53,2111,1295
"60M_8MS_125_7:023",23,,92.8729,-0.189485,6.74054,0,0,93,4052,63,2115,1937
"60M_8MS_125_7:024",24,,78.6795,-0.202858,11.6884,0,0,79,1364,21,2120,-756
"60M_8MS_125_7:025",25,,18.1472,-0.188572,9.66841,0,0,18,7671,119,2109,5562
"60M_8MS_125_7:026",26,,118.569,-1.20549,3.73578,0,0,118,2745,42,2110,635
"60M_8MS_125_7:027",27,,33.5767,-0.192669,10.9376,0,0,34,6323,98,2119,4204
"60M_8MS_125_7:028",28,,108.584,-0.194458,11.9804,0,1,109,4171,65,2116,2055
"60M_8MS_125_7:029",29,,126.55,-1.19288,8.81785,0,0,126,5858,91,2110,3748
"60M_8MS_125_7:030",30,,16.19,-0.191061,10.1222,0,0,16,7447,116,2111,5336
"60M_8MS_125_7:031",31,,7.84463,-0.192743,10.7705,0,2,8,3148,49,2128,1020
"60M_8MS_125_7:032",32,,103.525,-1.19372,3.73633,0,0,103,4930,77,2110,2820
"60M_8MS_125_7:033",33,,44.3525,-0.187941,8.85379,0,1,44,4943,77,2111,2832
"60M_8MS_125_7:034",34,,78.6634,-0.203267,7.49414,0,0,79,6044,94,2122,3922
"60M_8MS_125_7:035",35,,2.40418,-0.182551,4.87307,0,1,2,748,11,2110,-1362
"60M_8MS_125_7:036",36,,105.233,-0.183397,10.5784,0,0,105,2473,38,2109,364
"60M_8MS_125_7:037",37,,53.4612,-0.188942,5.65153,0,0,53,4696,73,2042,2654
"60M_8MS_125_7:038",38,,70.7316,-0.171109,6.98063,0,1,71,879,13,2121,-1242
"60M_8MS_125_7:039",39,,61.4933,-0.188427,10.6051,0,0,61,1218,19,2045,-827
"60M_8MS_125_7:040",40,,102.127,-0.185279,10.0045,0,0,102,4058,63,2110,1948
"60M_8MS_125_7:041",41,,115.965,-0.179685,8.91486,0,0,116,255,3,2121,-1866
"60M_8MS_125_7:042",42,,82.8564,-0.184763,11.7596,0,0,83,1628,25,2119,-491
"60M_8MS_125_7:043",43,,45.2927,-0.19122,11.3071,0,2,45,6804,106,2110,4694
"60M_8MS_125_7:044",44,,6.88608,-0.190533,11.2141,0,0,7,7562,118,2120,5442
"60M_8MS_125_7:045",45,,67.1988,-0.190566,11.7398,0,1,67,2054,32,2108,-54
"60M_8MS_125_7:046",46,,49.447,-0.197406,9.89693,0,0,49,6581,102,2040,4541
"60M_8MS_125_7:047",47,,104.529,-1.18981,5.68417,0,0,104,4197,65,2111,2086
"60M_8MS_125_7:048",48,,21.0175,-0.182757,11.7295,0,0,21,3652,57,2120,1532
"60M_8MS_125_7:049",49,,115.34,-0.188726,11.7724,0,0,115,4204,65,2110,2094
"60M_8MS_125_7:050",50,,20.7963,-0.173476,12.8114,0,0,21,4130,64,2123,2007
"60M_8MS_125_7:051",51,,40.7981,-0.178232,11.1327,0,0,41,4223,65,2127,2096
"60M_8MS_125_7:052",52,,30.868,-0.177573,11.581,0,1,31,4110,64,2128,1982
"60M_8MS_125_7:053",53,,50.9826,-0.1816,10.3563,0,0,51,1574,24,2107,-533
"60M_8MS_125_7:054",54,,120.098,-0.176747,10.8296,0,0,120,2970,46,2109,861
"60M_8MS_125_7:055",55,,44.4813,-0.191476,10.962,0,0,44,57,0,2034,-1977
"60M_8MS_125_7:056",56,,89.8542,-0.175213,11.5477,0,0,90,3160,49,2126,1034
"60M_8MS_125_7:057",57,,80.1286,-0.180075,11.0218,0,0,80,1474,23,2112,-638
"60M_8MS_125_7:058",58,,77.0996,-0.182563,11.2786,0,1,77,3909,61,2117,1792
"60M_8MS_125_7:059",59,,4.77463,-0.183273,9.21361,0,0,5,4224,66,2123,2101
"60M_8MS_125_7:060",60,,25.1472,-0.176022,10.6285,0,1,25,3338,52,2112,1226
"60M_8MS_125_7:061",61,,110.669,-0.193895,4.47014,0,1,111,7995,124,2119,5876
"60M_8MS_125_7:062",62,,79.0583,-0.172971,4.34981,0,0,79,6026,94,2124,3902
"60M_8MS_125_7:063",63,,46.4426,-0.177537,10.6304,0,0,46,5515,86,2037,3478
"60M_8MS_125_7:064",64,,92.6708,-0.170368,11.3395,0,0,93,999,15,2125,-1126
"60M_8MS_125_7:065",65,,9.71216,-0.175672,11.8141,0,0,10,4085,63,2125,1960
"60M_8MS_125_7:066",66,,120.293,-0.176326,11.9749,0,0,120,4214,65,2109,2105
