mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios,cfo_int2,sto_estimate2
"180M_2MS_125_7:080",80,,7.56841,-1.20193,9.4019,0,0,7,1847,115,557,1290
"180M_2MS_125_7:081",81,,49.0369,-0.204345,9.35859,0,0,49,577,36,559,18
"180M_2MS_125_7:082",82,,15.2798,-0.202513,9.03218,0,0,15,61,3,565,-504
"180M_2MS_125_7:083",83,,22.0106,-0.200391,9.38274,0,0,22,1262,78,585,677
"180M_2MS_125_7:084",84,,28.9655,-0.192525,9.75536,0,0,29,1737,108,585,1152
"180M_2MS_125_7:085",85,,28.5659,-0.207835,9.48584,0,0,29,1015,63,568,447
"180M_2MS_125_7:086",86,,36.1395,-0.197901,9.23991,0,0,36,2016,126,582,1434
"180M_2MS_125_7:087",87,,40.7766,-0.183559,7.84124,0,0,41,1168,73,585,583
"180M_2MS_125_7:088",88,,56.9329,-0.17891,4.36955,0,0,57,1692,105,585,1107
"180M_2MS_125_7:089",89,,79.3239,-0.200773,3.18565,0,0,79,367,22,582,-215
"180M_2MS_125_7:090",90,,96.3856,-0.208554,3.86832,0,0,96,224,14,566,-342
"180M_2MS_125_7:091",91,,28.3185,-0.199153,8.92234,0,0,28,244,15,567,-323
"180M_2MS_125_7:092",92,,111.613,-0.205685,9.6758,0,0,112,891,55,569,322
"180M_2MS_125_7:093",93,,40.3136,-0.19763,10.3727,0,0,40,295,18,583,-288
"180M_2MS_125_7:094",94,,67.1554,-0.194468,9.48123,0,0,67,528,33,566,-38
"180M_2MS_125_7:095",95,,48.4206,-0.203157,8.02873,0,0,48,583,36,566,17
"180M_2MS_125_7:096",96,,83.7851,-0.184645,9.62099,0,0,84,742,46,585,157
"180M_2MS_125_7:097",97,,36.733,-0.186139,0.433913,0,0,37,920,57,584,336
"180M_2MS_125_7:098",98,,50.4662,-0.182565,5.12572,0,0,50,94,5,565,-471
"180M_2MS_125_7:099",99,,101.668,-0.214864,9.17744,0,0,102,775,48,568,207
"180M_2MS_125_7:0100",100,,1.78087,-0.196641,9.61111,0,0,2,1763,110,560,1203
"180M_2MS_125_7:0101",101,,72.0969,-0.195429,8.82144,0,0,72,819,51,560,259
"180M_2MS_125_7:0102",102,,103.126,-0.19461,8.31663,0,0,103,1089,68,569,520
"180M_2MS_125_7:0103",103,,61.519,-0.208691,8.41499,0,0,62,786,49,586,200
"180M_2MS_125_7:0104",104,,95.0366,-0.189645,8.09247,0,0,95,1078,67,585,493
"180M_2MS_125_7:0105",105,,62.7348,-0.188899,4.28448,0,0,63,1325,82,569,756
"180M_2MS_125_7:0106",106,,100.079,-0.190589,4.39491,0,0,100,1177,73,585,592
