mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios,cfo_int2,sto_estimate2
"120M_8MS_125_7:0",0,,0.63618,-1.19325,8.21543,0,1,0,6911,107,2110,4801
"120M_8MS_125_7:01",1,,74.6178,-0.202647,7.77979,0,0,75,1589,24,2120,-531
"120M_8MS_125_7:02",2,,73.1466,-0.185223,6.71764,0,0,73,3309,51,2111,1198
"120M_8MS_125_7:03",3,,120.853,-0.147703,3.53523,0,0,121,6877,107,2127,4750
"120M_8MS_125_7:04",4,,41.6613,-0.195313,8.98511,0,0,42,1389,21,2121,-732
"120M_8MS_125_7:05",5,,0.0809915,-0.190675,8.23424,0,0,0,5297,82,2105,3192
"120M_8MS_125_7:06",6,,86.2636,-0.189546,7.24314,0,0,86,4149,64,2110,2039
"120M_8MS_125_7:07",7,,14.6757,-0.194896,7.862,0,0,15,95,1,2121,-2026
"120M_8MS_125_7:08",8,,74.4264,-0.19758,3.71403,0,1,74,1849,28,2039,-190
"120M_8MS_125_7:09",9,,42.5129,-0.188909,5.4615,0,0,43,4345,67,2118,2227
"120M_8MS_125_7:010",10,,101.304,-0.192541,6.41022,0,0,101,2951,46,2110,841
"120M_8MS_125_7:011",11,,84.4342,-0.194223,7.73462,0,0,84,4026,62,2040,1986
"120M_8MS_125_7:013",13,,99.0795,-0.191066,1.382,0,1,99,4196,65,2081,2115
"120M_8MS_125_7:014",14,,79.0235,-0.177704,3.00387,0,0,79,249,3,2128,-1879
"120M_8MS_125_7:015",15,,95.4256,-0.190729,7.11361,0,0,95,5145,80,2110,3035
"120M_8MS_125_7:016",16,,14.916,-0.186085,7.61946,0,0,15,7844,122,2123,5721
"120M_8MS_125_7:017",17,,58.8578,-0.178144,7.17248,0,0,59,5326,83,2122,3204
"120M_8MS_125_7:018",18,,30.2253,-0.189309,4.3867,0,0,30,659,10,2115,-1456
"120M_8MS_125_7:019",19,,102.914,-0.184425,6.87752,0,0,103,5250,82,2125,3125
"120M_8MS_125_7:020",20,,50.4711,-0.189213,6.64131,0,0,50,3985,62,2040,1945
"120M_8MS_125_7:021",21,,77.4899,-0.192339,7.39425,0,0,77,4021,62,2041,1980
"120M_8MS_125_7:022",22,,67.4114,-0.185374,7.71257,0,0,67,1620,25,2111,-491
"120M_8MS_125_7:023",23,,12.9866,-0.187092,6.31379,0,0,13,7375,115,2123,5252
"120M_8MS_125_7:024",24,,50.7217,-0.174358,4.10527,0,0,51,3735,58,2121,1614
"120M_8MS_125_7:025",25,,117.245,-0.178165,4.91566,0,0,117,4178,65,2109,2069
"120M_8MS_125_7:026",26,,117.642,-0.192114,5.9643,0,0,118,6056,94,2122,3934
"120M_8MS_125_7:027",27,,25.9084,-0.197367,-9.10773,0,0,26,2198,34,2116,82
"120M_8MS_125_7:028",28,,118.039,-0.175922,6.55581,0,0,118,3776,59,2126,1650
"120M_8MS_125_7:030",30,,34.7479,-0.194389,-3.00742,0,0,35,7840,122,2122,5718
"120M_8MS_125_7:031",31,,97.2207,-0.188495,6.25832,0,0,97,4194,65,2110,2084
"120M_8MS_125_7:032",32,,110.668,-0.185376,4.88313,0,0,111,1744,27,2121,-377
"120M_8MS_125_7:033",33,,13.6041,-0.180934,6.94995,0,0,14,0,0,2118,-2118
"120M_8MS_125_7:034",34,,20.0348,-0.181421,3.73348,0,0,20,8187,127,2120,6067
"120M_8MS_125_7:035",35,,2.919,-0.178018,5.57688,0,0,3,3948,61,2057,1891
"120M_8MS_125_7:036",36,,104.787,-0.165119,6.91812,0,0,105,1513,23,2123,-610
"120M_8MS_125_7:037",37,,124.528,-1.19136,5.22329,0,0,124,1098,17,2111,-1013
"120M_8MS_125_7:038",38,,4.63651,-1.17472,5.87497,0,0,4,6843,106,2112,4731
"120M_8MS_125_7:039",39,,63.5161,-0.193962,7.29452,0,0,64,2748,42,2040,708
"120M_8MS_125_7:040",40,,26.027,-0.177315,5.16847,0,1,26,5014,78,2104,2910
"120M_8MS_125_7:041",41,,42.5589,-0.196222,7.67311,0,0,43,2713,42,2034,679
"120M_8MS_125_7:042",42,,104.485,-0.196868,-8.33489,0,0,104,460,7,2112,-1652
"120M_8MS_125_7:043",43,,41.4783,-0.182826,1.85568,0,0,41,1976,30,2116,-140
"120M_8MS_125_7:044",44,,118.199,-0.173567,6.08139,0,0,118,5100,79,2110,2990
"120M_8MS_125_7:045",45,,73.274,-0.184302,2.03833,0,0,73,7341,114,2109,5232
"120M_8MS_125_7:046",46,,116.441,-0.185749,5.39614,0,0,116,4610,72,2110,2500
"120M_8MS_125_7:047",47,,42.6435,-0.19033,6.3792,0,0,43,7736,120,2121,5615
"120M_8MS_125_7:048",48,,105.599,-0.190602,7.38673,0,0,106,5899,92,2119,3780
"120M_8MS_125_7:049",49,,17.7766,-0.154696,2.90521,0,0,18,4133,64,2116,2017
"120M_8MS_125_7:050",50,,11.0997,-0.178369,7.47248,0,0,11,5272,82,2111,3161
"120M_8MS_125_7:051",51,,13.8884,-0.180067,7.55764,0,0,14,6881,107,2126,4755
"120M_8MS_125_7:052",52,,34.9358,-0.175259,8.89894,0,0,35,8177,127,2113,6064
"120M_8MS_125_7:053",53,,61.1793,-0.182207,8.06544,0,0,61,3997,62,2109,1888
"120M_8MS_125_7:054",54,,9.60078,-1.18463,7.86099,0,1,9,4087,63,2110,1977
"120M_8MS_125_7:055",55,,95.9998,-0.174734,7.13466,0,0,96,7031,109,2122,4909
"120M_8MS_125_7:056",56,,31.5349,-0.177193,7.3027,0,0,32,4677,73,2118,2559
"120M_8MS_125_7:057",57,,70.3137,-0.187328,-2.84007,0,0,70,7294,113,2108,5186
"120M_8MS_125_7:058",58,,60.1573,-0.18286,-1.01348,0,0,60,7140,111,2113,5027
"120M_8MS_125_7:059",59,,69.9893,-0.180181,3.07745,0,0,70,202,3,2125,-1923
"120M_8MS_125_7:060",60,,85.6642,-0.187517,6.37351,0,0,86,3775,58,2120,1655
"120M_8MS_125_7:062",62,,88.3036,-0.189384,5.77021,0,0,88,2290,35,2109,181
"120M_8MS_125_7:063",63,,73.9549,-0.185867,6.07921,0,0,74,7550,117,2130,5420
"120M_8MS_125_7:064",64,,80.876,-0.185962,10.1795,0,0,81,4440,69,2124,2316
"120M_8MS_125_7:065",65,,20.1556,-0.188407,8.89413,0,0,20,4121,64,2109,2012
"120M_8MS_125_7:066",66,,69.0155,-0.183701,9.20084,0,0,69,4728,73,2115,2613
"120M_8MS_125_7:067",67,,93.3779,-0.191023,6.13573,0,0,93,3035,47,2110,925
"120M_8MS_125_7:068",68,,89.3012,-0.184509,2.06389,0,0,89,842,13,2113,-1271
"120M_8MS_125_7:069",69,,45.1117,-0.190012,3.45475,0,0,45,1900,29,2112,-212
"120M_8MS_125_7:070",70,,64.233,-0.18604,6.12394,0,0,64,2387,37,2108,279
"120M_8MS_125_7:071",71,,42.2838,-0.193503,4.55898,0,0,42,7149,111,2108,5041
"120M_8MS_125_7:072",72,,38.3038,-0.191045,7.20618,0,0,38,5733,89,2110,3623
"120M_8MS_125_7:073",73,,88.8754,-0.177158,8.1174,0,0,89,4351,67,2123,2228
"120M_8MS_125_7:074",74,,5.93122,-0.185471,8.39316,0,0,6,4111,64,2124,1987
"120M_8MS_125_7:075",75,,115.698,-0.179206,9.19436,0,0,116,5131,80,2122,3009
"120M_8MS_125_7:076",76,,113.936,-0.182807,1.47338,0,0,114,7488,117,2123,5365
"120M_8MS_125_7:077",77,,110.016,-0.17756,-1.51063,0,0,110,2010,31,2117,-107
"120M_8MS_125_7:078",78,,49.8154,-0.167797,6.1876,0,0,50,1247,19,2123,-876
"120M_8MS_125_7:079",79,,13.2603,-0.186116,8.30409,0,0,13,28,0,2108,-2080
