mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios
"60M8MBPS:0",0,,98.9822,-0.225997,14.8483,0,0,99,6597,103
"60M8MBPS:01",1,,102.104,-0.222286,14.326,0,0,102,7384,115
"60M8MBPS:02",2,,114.122,-0.221078,16.0446,0,0,114,5331,83
"60M8MBPS:03",3,,70.1119,-0.229456,15.6246,0,0,70,3187,49
"60M8MBPS:04",4,,46.1897,-0.224383,14.8353,0,0,46,4125,64
"60M8MBPS:05",5,,26.8824,-0.228509,13.8832,0,0,27,970,15
"60M8MBPS:06",6,,19.2667,-0.236835,16.9491,0,0,19,4105,64
"60M8MBPS:07",7,,105.012,-0.22736,16.18,0,0,105,4052,63
"60M8MBPS:08",8,,102.354,-0.234682,16.0302,0,0,102,4053,63
"60M8MBPS:09",9,,13.562,-1.23185,16.3936,0,0,13,7377,115
"60M8MBPS:010",10,,3.82407,-0.231079,16.1913,0,1,4,4168,65
"60M8MBPS:011",11,,19.9995,-0.233757,18.4077,0,0,20,4101,64
"60M8MBPS:012",12,,119.301,-0.234699,16.8413,0,0,119,4211,65
"60M8MBPS:013",13,,9.17105,-0.232463,14.9369,0,0,9,7443,116
"60M8MBPS:014",14,,45.197,-0.236812,9.83757,0,0,45,1947,30
"60M8MBPS:015",15,,56.5589,-0.242215,8.00163,0,0,57,7488,117
"60M8MBPS:016",16,,9.10475,-0.234905,10.1033,0,2,9,6069,94
"60M8MBPS:017",17,,89.2677,-0.230826,13.187,0,0,89,3454,53
"60M8MBPS:018",18,,86.6243,-0.244482,14.566,0,0,87,4179,65
"60M8MBPS:019",19,,65.3397,-0.238457,14.4791,0,0,65,4170,65
"60M8MBPS:020",20,,92.5516,-0.242492,14.7717,0,0,93,4188,65
"60M8MBPS:021",21,,88.0969,-0.232831,12.8712,0,0,88,4798,74
"60M8MBPS:022",22,,56.0965,-0.229573,16.1981,0,0,56,4149,64
"60M8MBPS:023",23,,56.4455,-0.236267,13.5464,0,0,56,2621,40
"60M8MBPS:024",24,,31.0541,-0.228476,9.52951,0,0,31,3964,61
"60M8MBPS:025",25,,6.4909,-0.241564,15.1151,0,0,6,4094,63
"60M8MBPS:026",26,,45.4608,-0.23618,15.2728,0,0,45,3985,62
"60M8MBPS:027",27,,13.5535,-1.22688,13.3466,0,1,13,7088,110
"60M8MBPS:028",28,,30.6707,-0.227769,14.4392,0,1,31,4110,64
"60M8MBPS:029",29,,60.2723,-0.226617,16.0302,0,0,60,4013,62
"60M8MBPS:030",30,,63.8935,-0.22062,13.7383,0,0,64,2786,43
"60M8MBPS:031",31,,1.31523,-0.228738,11.9898,0,0,1,7477,116
"60M8MBPS:032",32,,51.6535,-0.233006,13.0055,0,0,52,2420,37
"60M8MBPS:033",33,,82.82,-0.214872,12.0243,0,0,83,2851,44
"60M8MBPS:034",34,,110.097,-0.22751,9.85322,0,0,110,6188,96
"60M8MBPS:035",35,,110.183,-0.22548,13.1299,0,0,110,4204,65
"60M8MBPS:036",36,,74.5328,-0.236504,12.6638,0,0,75,4010,62
"60M8MBPS:037",37,,3.93134,-0.230929,13.3403,0,0,4,6473,101
"60M8MBPS:038",38,,104.77,-0.21356,12.943,0,0,105,4048,63
"60M8MBPS:039",39,,47.5825,-0.233747,16.3224,0,0,48,3994,62
"60M8MBPS:040",40,,86.4511,-0.235524,14.8686,0,1,86,4164,65
"60M8MBPS:041",41,,82.7261,-0.239951,17.8018,0,0,83,110,1
"60M8MBPS:042",42,,112.504,-1.23205,11.3097,0,0,112,4188,65
"60M8MBPS:043",43,,15.4677,-0.223353,13.1059,0,0,15,4109,64
"60M8MBPS:044",44,,99.8547,-0.2164,13.0233,0,0,100,4178,65
"60M8MBPS:045",45,,55.6019,-0.238391,15.7835,0,0,56,4158,64
"60M8MBPS:046",46,,15.8575,-0.228513,14.9423,0,0,16,192,3
"60M8MBPS:047",47,,97.0278,-0.230267,16.4662,0,0,97,4197,65
"60M8MBPS:048",48,,15.8889,-0.233668,10.4854,0,0,16,4113,64
"60M8MBPS:049",49,,23.7011,-0.247227,11.9177,0,2,24,5265,82
"60M8MBPS:050",50,,65.7601,-0.220979,16.1232,0,0,66,3375,52
"60M8MBPS:051",51,,124.002,-0.227219,16.7607,0,0,124,4070,63
"60M8MBPS:052",52,,41.9347,-0.226639,13.401,0,0,42,1764,27
"60M8MBPS:053",53,,101.994,-0.225493,16.1563,0,1,102,4037,63
"60M8MBPS:054",54,,0.464207,-0.226428,12.1509,0,0,0,5192,81
"60M8MBPS:055",55,,118.434,-0.241119,14.5268,0,0,118,4215,65
"60M8MBPS:056",56,,10.8657,-0.232769,11.4391,0,0,11,8101,126
"60M8MBPS:057",57,,14.8231,-0.233399,7.96258,0,0,15,3959,61
"60M8MBPS:058",58,,43.0644,-0.224769,8.77416,0,0,43,7276,113
"60M8MBPS:059",59,,39.761,-0.217809,11.0473,0,0,40,1222,19
"60M8MBPS:060",60,,89.9972,-0.228841,7.49087,0,0,90,7027,109
"60M8MBPS:061",61,,-0.203356,-0.217834,9.20997,0,0,0,4812,75
"60M8MBPS:062",62,,19.808,-0.233126,11.9717,0,0,20,1018,15
"60M8MBPS:063",63,,101.781,-0.223026,13.518,0,0,102,3865,60
"60M8MBPS:064",64,,41.5146,-0.242327,10.671,0,0,42,4359,68
"60M8MBPS:065",65,,34.1799,-0.23444,14.3142,0,0,34,4122,64
"60M8MBPS:066",66,,37.7395,-0.248024,12.3308,0,0,38,7915,123
"60M8MBPS:067",67,,85.7039,-0.252211,14.2362,0,0,86,4580,71
"60M8MBPS:068",68,,83.8325,-0.229069,16.2217,0,0,84,4034,63
"60M8MBPS:069",69,,47.7729,-0.225719,13.76,0,0,48,752,11
"60M8MBPS:070",70,,104.279,-0.233956,18.0284,0,0,104,4196,65
"60M8MBPS:071",71,,10.8491,-0.232292,18.2909,0,0,11,4114,64
"60M8MBPS:072",72,,117.857,-0.222057,15.2769,0,0,118,4210,65
"60M8MBPS:073",73,,5.3663,-0.230613,10.8483,0,0,5,7260,113
"60M8MBPS:074",74,,87.7197,-0.218435,16.5242,0,0,88,4188,65
"60M8MBPS:075",75,,61.3584,-0.230392,8.84104,0,0,61,4137,64
"60M8MBPS:076",76,,53.9862,-0.220466,11.4713,0,2,54,1798,28
"60M8MBPS:077",77,,29.9971,-0.233849,14.8636,0,0,30,3968,62
"60M8MBPS:078",78,,97.4877,-0.245798,14.0771,0,0,97,4178,65
"60M8MBPS:079",79,,81.2589,-0.235654,12.7154,0,0,81,6543,102
"60M8MBPS:080",80,,46.3804,-0.238179,12.1702,0,0,46,334,5
"60M8MBPS:081",81,,71.581,-0.243295,13.0134,0,0,72,7744,121
"60M8MBPS:082",82,,89.2644,-0.236682,12.0395,0,0,89,7539,117
"60M8MBPS:083",83,,11.6278,-1.23613,17.0997,0,2,11,4086,63
"60M8MBPS:084",84,,6.16752,-0.237176,16.4874,0,4,6,6899,107
"60M8MBPS:085",85,,40.0586,-0.232127,12.2877,0,5,40,3476,54
"60M8MBPS:086",86,,11.5642,-1.23403,13.0262,0,12,11,8152,127
"60M8MBPS:087",87,,97.1771,-0.232855,14.5769,0,7,97,4196,65
"60M8MBPS:088",88,,37.4888,-0.236977,15.4033,0,4,37,4120,64
"60M8MBPS:089",89,,15.507,-1.22959,15.9166,0,7,15,4107,64
"60M8MBPS:090",90,,114.591,-1.2418,11.3363,0,13,114,4201,65
"60M8MBPS:091",91,,127.383,-0.239666,11.9455,0,0,127,4221,65
