mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios
"120M2MBPS:0",0,,81.0961,-0.217216,11.1802,0,0,81,1084,67
"120M2MBPS:01",1,,86.8262,-0.205967,9.78909,0,0,87,652,40
"120M2MBPS:02",2,,74.5845,-0.232851,7.56737,0,0,75,988,61
"120M2MBPS:03",3,,21.4966,-0.222948,10.4032,0,0,21,1850,115
"120M2MBPS:04",4,,112.323,-0.215585,4.74521,0,0,112,235,14
"120M2MBPS:05",5,,36.2189,-0.231151,3.6925,0,0,36,1113,69
"120M2MBPS:06",6,,45.4512,-0.230823,10.9841,0,0,45,521,32
"120M2MBPS:08",8,,74.6537,-0.233535,11.1397,0,0,75,832,52
"120M2MBPS:09",9,,1.73606,-0.240538,13.3074,0,0,2,916,57
"120M2MBPS:010",10,,95.2759,-0.230309,14.4363,0,0,95,1199,74
"120M2MBPS:011",11,,17.6151,-0.223999,14.0755,0,0,18,829,51
"120M2MBPS:012",12,,89.7076,-0.231808,10.3463,0,0,90,148,9
"120M2MBPS:013",13,,88.5019,-0.227916,10.8099,0,0,89,1013,63
"120M2MBPS:014",14,,103.013,-0.220268,11.5798,0,0,103,1084,67
"120M2MBPS:015",15,,8.3345,-0.226536,-0.00349453,0,0,8,238,14
"120M2MBPS:016",16,,81.3715,-0.224434,-1.54483,0,0,81,1323,82
"120M2MBPS:017",17,,14.3824,-0.22259,10.5683,0,0,14,436,27
"120M2MBPS:018",18,,43.6984,-0.233861,6.00028,0,0,44,1533,95
"120M2MBPS:019",19,,26.9468,-0.213355,11.7682,0,0,27,1552,97
"120M2MBPS:020",20,,62.5002,-0.225582,6.83423,0,0,63,1581,98
"120M2MBPS:021",21,,127.327,-0.216248,8.95076,0,0,127,903,56
"120M2MBPS:022",22,,35.906,-0.213389,-3.52501,0,0,36,120,7
"rx msg: 120M2MBPS:P�S",-1,,50.9995,-0.215045,1.25179,1,0,51,794,49
"120M2MBPS:024",24,,31.1114,-0.213843,6.93566,0,0,31,1168,73
"120M2MBPS:025",25,,97.3503,-0.218946,7.01601,0,0,97,1088,68
"120M2MBPS:026",26,,125.097,-0.215195,10.0511,0,0,125,1402,87
"120M2MBPS:027",27,,21.151,-0.204304,6.42939,0,0,21,634,39
