mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios
"120M2MBPS:028",28,,53.3808,-0.21554,8.33714,0,0,53,1493,93
"120M2MBPS:029",29,,64.3329,-0.220725,4.7183,0,0,64,1540,96
"120M2MBPS:030",30,,96.84,-0.214857,1.67048,0,0,97,649,40
"120M2MBPS:031",31,,92.1431,-0.210818,2.60852,0,0,92,1073,67
"120M2MBPS:032",32,,112.323,-0.220381,6.59906,0,0,112,1096,68
"120M2MBPS:033",33,,41.5863,-0.223386,13.1145,0,0,42,25,1
"120M2MBPS:034",34,,73.7625,-0.203943,8.59335,0,0,74,961,60
"120M2MBPS:035",35,,18.8126,-0.22031,6.57882,0,0,19,1452,90
"120M2MBPS:036",36,,87.7087,-0.211675,2.98615,0,0,88,1178,73
"120M2MBPS:037",37,,58.5231,-0.222661,2.80747,0,0,59,242,15
"120M2MBPS:038",38,,70.5911,-0.219507,7.70882,0,0,71,197,12
"120M2MBPS:039",39,,92.157,-0.212523,-2.29824,0,0,92,1734,108
"120M2MBPS:040",40,,87.8101,-0.213413,3.44126,0,0,88,1070,66
"120M2MBPS:041",41,,0.50878,-1.21035,6.38822,0,0,0,560,35
"120M2MBPS:042",42,,75.8727,-0.214967,5.43008,0,0,76,269,16
"120M2MBPS:043",43,,36.4915,-0.228288,-3.68706,0,0,36,865,54
"120M2MBPS:044",44,,53.2922,-0.214163,3.74949,0,0,53,1036,64
"120M2MBPS:045",45,,21.834,-0.203911,9.79329,0,0,22,1010,63
"120M2MBPS:046",46,,101.719,-0.203881,-0.755919,0,0,102,1430,89
"120M2MBPS:047",47,,24.6634,-0.206964,-1.05825,0,0,25,1641,102
"120M2MBPS:048",48,,114.174,-0.215686,10.2814,0,0,114,1000,62
"120M2MBPS:049",49,,94.4723,-0.215808,12.8717,0,0,94,1167,72
"120M2MBPS:050",50,,77.7422,-0.20031,5.14266,0,0,78,1737,108
"120M2MBPS:051",51,,12.3024,-0.215057,-1.03487,0,0,12,925,57
"120M2MBPS:052",52,,68.3882,-0.218726,9.01944,0,0,68,149,9
"120M2MBPS:053",53,,31.1962,-0.21279,4.19954,0,0,31,1651,103
"120M2MBPS:054",54,,111.735,-0.204403,2.78439,0,0,112,1992,124
"120M2MBPS:055",55,,111.889,-0.207613,6.00119,0,0,112,1452,90
"120M2MBPS:056",56,,65.7806,-0.201459,7.59317,0,0,66,627,39
"120M2MBPS:057",57,,101.443,-0.222954,11.0389,0,0,101,871,54
"120M2MBPS:058",58,,80.0252,-0.208576,9.93369,0,0,80,1069,66
"120M2MBPS:059",59,,116.439,-0.22404,6.11204,0,0,116,1671,104
"120M2MBPS:060",60,,115.935,-0.204107,11.8759,0,0,116,719,44
"120M2MBPS:061",61,,103.486,-0.220577,11.9273,0,0,103,1158,72
"120M2MBPS:062",62,,35.791,-0.199648,9.65279,0,0,36,1803,112
"120M2MBPS:063",63,,101.453,-0.220768,5.74656,0,0,101,1461,91
"120M2MBPS:064",64,,115.193,-0.201614,-1.1608,0,0,115,1847,115
"120M2MBPS:065",65,,47.0579,-0.208331,6.59267,0,0,47,1659,103
"120M2MBPS:066",66,,0.589168,-1.21235,3.81133,0,0,0,329,20
"120M2MBPS:067",67,,83.5018,-0.2301,-3.50484,0,0,84,437,27
"120M2MBPS:068",68,,62.0332,-0.195575,10.3153,0,0,62,1318,82
"120M2MBPS:069",69,,105.455,-0.212447,10.1067,0,0,105,1481,92
"120M2MBPS:070",70,,56.6055,-0.228023,5.30458,0,0,57,259,16
"120M2MBPS:071",71,,90.7742,-0.214431,4.93515,0,0,91,219,13
"120M2MBPS:072",72,,2.89029,-0.221314,7.65768,0,0,3,924,57
"120M2MBPS:073",73,,80.6041,-0.226618,9.0968,0,0,81,1064,66
"120M2MBPS:074",74,,64.3084,-0.216282,10.9261,0,0,64,822,51
"120M2MBPS:075",75,,70.1621,-0.217136,12.7747,0,0,70,883,55
"120M2MBPS:076",76,,44.4932,-0.222168,12.4333,0,0,44,1819,113
"120M2MBPS:077",77,,82.8082,-0.198643,14.3125,0,0,83,1113,69
"120M2MBPS:078",78,,87.6246,-0.225713,13.1679,0,0,88,1203,75
"120M2MBPS:079",79,,89.0544,-0.208941,4.3523,0,0,89,1475,92
"120M2MBPS:080",80,,91.9106,-0.211796,5.7926,0,0,92,101,6
"120M2MBPS:081",81,,20.5362,-1.20706,4.97645,0,0,20,591,36
"120M2MBPS:082",82,,75.0197,-0.203983,9.99575,0,0,75,986,61
"120M2MBPS:083",83,,109.145,-0.209452,10.2138,0,0,109,1583,98
"120M2MBPS:084",84,,81.2091,-0.213518,11.3522,0,0,81,1074,67
"120M2MBPS:085",85,,92.3064,-0.216541,10.0448,0,0,92,895,55
"120M2MBPS:086",86,,15.9303,-0.21358,8.87039,0,0,16,1899,118
"120M2MBPS:087",87,,16.1351,-0.206424,8.99346,0,0,16,475,29
"120M2MBPS:088",88,,11.999,-0.207703,3.24344,0,0,12,1850,115
"120M2MBPS:089",89,,89.1057,-0.201061,5.64024,0,0,89,875,54
"120M2MBPS:090",90,,44.2154,-0.19265,-7.21347,0,0,44,1335,83
"120M2MBPS:091",91,,88.3139,-0.205279,0.653473,0,0,88,1200,75
"120M2MBPS:092",92,,74.6021,-0.210838,4.36074,0,0,75,1314,82
"120M2MBPS:093",93,,106.89,-0.204542,5.22924,0,0,107,1020,63
"120M2MBPS:094",94,,27.0266,-0.205714,10.5781,0,0,27,1556,97
"120M2MBPS:095",95,,90.0158,-0.220933,1.62285,0,0,90,696,43
"120M2MBPS:096",96,,3.70615,-1.21411,8.67805,0,0,3,277,17
"120M2MBPS:097",97,,70.1038,-0.216721,10.5822,0,0,70,1068,66
"120M2MBPS:098",98,,10.6503,-0.211852,13.7839,0,0,11,1881,117
"120M2MBPS:099",99,,6.74622,-0.211999,11.4612,0,0,7,999,62
"120M2MBPS:0100",100,,70.7569,-0.208188,12.6248,0,0,71,805,50
"120M2MBPS:0101",101,,16.0128,-0.20487,3.4183,0,0,16,242,15
"120M2MBPS:0102",102,,11.4262,-0.225514,11.7944,0,0,11,1005,62
"120M2MBPS:0103",103,,1.51554,-1.22648,-1.86538,0,0,1,247,15
"120M2MBPS:0104",104,,8.97146,-0.216774,11.7457,0,0,9,1978,123
"120M2MBPS:0105",105,,127.351,-0.219856,14.8941,0,0,127,1113,69
