mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum
"1M 4MSPS:074",74,-4.78323e-07,65.9401,-0.17462,19.457,0,0
"1M 4MSPS:075",75,1.13563e-07,86.0141,-0.179474,20.1677,0,0
"1M 4MSPS:076",76,3.88965e-06,76.4861,-0.194616,19.3099,0,0
"1M 4MSPS:077",77,2.72356e-07,0.0339377,-0.184087,20.0939,0,0
"1M 4MSPS:078",78,1.82075e-06,51.2275,-0.18594,19.2832,0,0
"1M 4MSPS:079",79,-3.35507e-06,59.5805,-0.195696,20.1611,0,0
"1M 4MSPS:080",80,-1.07477e-06,48.8656,-0.176394,19.8726,0,0
"1M 4MSPS:081",81,-2.63984e-06,122.67,-0.170629,20.3028,0,0
"1M 4MSPS:082",82,-2.1465e-06,73.7316,-0.175873,19.5567,0,0
"1M 4MSPS:083",83,3.01929e-06,55.3773,-0.188245,20.4362,0,0
"1M 4MSPS:084",84,-3.31116e-06,42.586,-0.195249,20.3514,0,0
"1M 4MSPS:085",85,-3.03297e-07,22.962,-0.18462,20.3565,0,0
"1M 4MSPS:086",86,-1.31032e-06,93.8361,-0.177499,19.2038,0,0
"1M 4MSPS:087",87,-2.45182e-06,122.693,-0.173867,20.4619,0,0
"1M 4MSPS:088",88,1.18679e-06,9.14824,-0.180069,19.8392,0,0
"1M 4MSPS:089",89,-2.28344e-06,9.71447,-0.175401,20.5054,0,0
"1M 4MSPS:090",90,2.4207e-06,61.3025,-0.182898,19.0694,0,0
"1M 4MSPS:091",91,-1.17604e-05,3.52926,-1.19238,20.3718,0,0
"1M 4MSPS:092",92,-3.90261e-06,60.5121,-0.19132,20.393,0,0
"1M 4MSPS:093",93,-1.18547e-05,105.517,-1.19308,14.4029,0,0
"1M 4MSPS:094",94,-2.41571e-06,21.6979,-0.186266,20.5272,0,0
"1M 4MSPS:095",95,1.6369e-06,110.205,-0.183423,20.1736,0,0
"1M 4MSPS:096",96,4.01016e-07,23.05,-0.182056,20.2703,0,0
"1M 4MSPS:097",97,1.7944e-06,59.2242,-0.181667,20.2209,0,0
"1M 4MSPS:098",98,2.71057e-06,4.33871,-0.186853,19.2713,0,0
"1M 4MSPS:099",99,2.20213e-06,65.2752,-0.184275,20.3256,0,0
"1M 4MSPS:0100",100,-7.40492e-07,43.9073,-0.176346,20.2858,0,0
"1M 4MSPS:0101",101,1.49614e-06,37.1869,-0.182052,20.4327,0,0
