mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios,cfo_int2,sto_estimate2
"30M_4MS_500_12:0",0,,2735.36,-2.48445,11.1718,0,0,2733,16926,2115,10930,5996
"30M_4MS_500_12:01",1,,4072.62,-2.49085,11.1993,0,0,4071,18558,2319,10935,7623
"30M_4MS_500_12:02",2,,2437.56,-1.55811,13.5842,0,0,2436,16613,2076,10935,5678
"30M_4MS_500_12:03",3,,823.744,-1.4726,20.3178,0,0,823,15299,1912,10935,4364
"30M_4MS_500_12:04",4,,127.163,-1.49014,20.4026,0,0,126,14614,1826,10935,3679
"30M_4MS_500_12:05",5,,194.781,-2.48469,17.6903,0,0,193,14679,1834,10934,3745
"30M_4MS_500_12:06",6,,3407.79,-2.4946,6.82136,0,0,3406,17885,2235,9287,8598
"30M_4MS_500_12:07",7,,53.5708,-1.50354,20.4322,0,0,52,14231,1778,10934,3297
"30M_4MS_500_12:08",8,,2806.36,-1.51396,19.3846,0,0,2804,17284,2160,10934,6350
"30M_4MS_500_12:09",9,,2633.01,-1.50503,17.8749,0,0,2631,17121,2140,10934,6187
"30M_4MS_500_12:010",10,,3622.91,-1.50375,8.2253,0,0,3621,18103,2262,10934,7169
"30M_4MS_500_12:011",11,,226.986,-1.56167,22.1869,0,0,225,14424,1803,10934,3490
"30M_4MS_500_12:012",12,,2254.01,-1.53691,17.5821,0,0,2252,16724,2090,10934,5790
"30M_4MS_500_12:013",13,,2433.91,-1.52164,14.2838,0,0,2432,16639,2079,10934,5705
"30M_4MS_500_12:014",14,,3595.1,-1.57768,20.4586,0,0,3593,17790,2223,10934,6856
"30M_4MS_500_12:015",15,,268.83,-1.52085,18.8226,0,0,267,14461,1807,10934,3527
"30M_4MS_500_12:016",16,,519.457,-1.50512,17.8364,0,0,517,14709,1838,10934,3775
"30M_4MS_500_12:017",17,,3618.23,-1.52297,11.926,0,0,3616,17815,2226,10934,6881
"30M_4MS_500_12:018",18,,2258.24,-1.50517,12.0624,0,0,2256,16748,2093,10934,5814
"30M_4MS_500_12:019",19,,1800.66,-1.48019,13.4599,0,0,1800,16285,2035,10935,5350
"30M_4MS_500_12:020",20,,1378.81,-1.43651,12.7988,0,0,1378,15848,1981,9287,6561
"30M_4MS_500_12:021",21,,613.215,-1.48035,18.2236,0,0,612,15090,1886,10935,4155
"30M_4MS_500_12:022",22,,394.244,-1.52747,21.4548,0,0,392,14587,1823,10934,3653
"30M_4MS_500_12:023",23,,3121.12,-1.57077,19.268,0,0,3119,17320,2165,10934,6386
"30M_4MS_500_12:024",24,,3777.68,-2.49136,7.48456,0,0,3776,17973,2246,10935,7038
"30M_4MS_500_12:025",25,,4080.17,-1.55293,6.28736,0,0,4078,18549,2318,10934,7615
"30M_4MS_500_12:026",26,,4024.04,-1.54248,6.37272,0,0,4022,18210,2276,10934,7276
"30M_4MS_500_12:027",27,,1836.33,-1.53703,15.4885,0,0,1834,16028,2003,10934,5094
"30M_4MS_500_12:028",28,,3990.37,-1.55216,11.964,0,0,3988,18179,2272,10934,7245
"30M_4MS_500_12:029",29,,275.534,-1.5929,17.6416,0,0,274,14464,1808,9289,5175
"30M_4MS_500_12:030",30,,1436.94,-1.52605,6.3925,0,0,1435,15636,1954,10934,4702
"30M_4MS_500_12:031",31,,343.589,-1.53881,19.7166,0,0,342,14534,1816,10934,3600
"30M_4MS_500_12:032",32,,2125.89,-1.56961,16.9368,0,0,2124,16594,2074,10934,5660
"30M_4MS_500_12:033",33,,3033.61,-1.55397,11.5224,0,0,3032,17232,2154,10930,6302
"30M_4MS_500_12:034",34,,3566.47,-1.51765,19.5533,0,0,3564,17757,2219,10934,6823
"30M_4MS_500_12:035",35,,2540.64,-1.52415,16.8526,0,0,2539,17014,2126,10931,6083
"30M_4MS_500_12:036",36,,924.025,-1.51034,16.502,0,0,922,15117,1889,10934,4183
"30M_4MS_500_12:037",37,,3020.03,-1.54763,10.6161,0,0,3018,17215,2151,10934,6281
"30M_4MS_500_12:038",38,,3938.61,-2.49137,10.9949,0,0,3937,18128,2266,9290,8838
"30M_4MS_500_12:039",39,,2163.18,-2.48295,13.1469,0,0,2161,16778,2097,10934,5844
"30M_4MS_500_12:040",40,,3447.96,-1.45421,9.89506,0,0,3447,17924,2240,10935,6989
"30M_4MS_500_12:041",41,,44.5889,-2.49849,24.6415,0,0,43,14534,1816,10934,3600
"30M_4MS_500_12:042",42,,2285.81,-1.47451,11.2563,0,0,2285,16470,2058,10935,5535
"30M_4MS_500_12:043",43,,262.002,-1.50339,20.9331,0,0,260,14457,1807,10930,3527
"30M_4MS_500_12:044",44,,1432.64,-1.47789,17.7207,0,0,1432,15905,1988,10935,4970
"30M_4MS_500_12:045",45,,108.173,-1.47416,18.6653,0,0,107,14592,1824,10935,3657
"30M_4MS_500_12:046",46,,1532.12,-2.47758,18.5063,0,0,1530,16007,2000,10934,5073
"30M_4MS_500_12:047",47,,3882.46,-1.46841,9.81379,0,0,3881,18353,2294,10931,7422
"30M_4MS_500_12:048",48,,33.3654,-1.46253,25.4932,0,0,32,14488,1811,10931,3557
"30M_4MS_500_12:049",49,,3000.54,-1.46581,7.74092,0,0,3000,17474,2184,10935,6539
"30M_4MS_500_12:050",50,,3279.25,-1.46731,19.6618,0,0,3278,17461,2182,10935,6526
