mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios,cfo_int2,sto_estimate2
"180M_4MS_500_12:0",0,,2250.35,-1.60263,-1.23942,0,0,2248,5947,743,10917,-4970
"180M_4MS_500_12:01",1,,979.179,-1.64618,5.36483,0,0,977,29482,3685,9581,19901
"180M_4MS_500_12:02",2,,109.459,-1.59902,9.03212,0,0,107,31152,3894,10930,20222
"180M_4MS_500_12:03",3,,449.955,-1.61944,7.35161,0,0,448,14283,1785,9560,4723
"180M_4MS_500_12:04",4,,492.202,-1.59699,8.2233,0,0,490,22496,2812,10871,11625
"180M_4MS_500_12:05",5,,1108.41,-1.60425,6.22509,0,0,1106,31222,3902,9272,21950
"180M_4MS_500_12:06",6,,2007.05,-1.59624,-2.3233,0,0,2005,5349,668,9648,-4299
"180M_4MS_500_12:07",7,,2941.84,-1.60798,-1.03076,0,0,2940,17160,2145,10611,6549
"180M_4MS_500_12:08",8,,266.179,-1.6084,6.02386,0,0,264,24933,3116,9919,15014
"180M_4MS_500_12:09",9,,593.094,-1.61739,6.26158,0,0,591,15222,1902,9285,5937
"180M_4MS_500_12:010",10,,2592.38,-1.58966,-1.31177,0,0,2590,12097,1512,9798,2299
"180M_4MS_500_12:011",11,,371.042,-1.59913,7.44832,0,0,369,17135,2141,9815,7320
"180M_4MS_500_12:012",12,,763.506,-1.59801,2.91299,0,0,762,32427,4053,10784,21643
"180M_4MS_500_12:013",13,,3559.83,-1.58776,-6.19388,0,0,3558,18052,2256,9573,8479
"180M_4MS_500_12:014",14,,678.758,-1.59533,6.51277,0,0,677,31158,3894,9649,21509
"180M_4MS_500_12:015",15,,3259.04,-1.64002,-7.52564,0,0,3257,21845,2730,10878,10967
"180M_4MS_500_12:016",16,,3455.78,-1.60429,-0.589751,0,0,3454,5661,707,9579,-3918
"180M_4MS_500_12:017",17,,4044.02,-1.57198,-1.50747,0,0,4042,20778,2597,9650,11128
"180M_4MS_500_12:018",18,,634.851,-1.5493,6.49043,0,0,633,26345,3293,9851,16494
"180M_4MS_500_12:019",19,,1928.43,-1.56017,4.04397,0,0,1926,26597,3324,10182,16415
"180M_4MS_500_12:020",20,,1492.79,-1.54674,-11.1077,0,0,1491,5020,627,10685,-5665
"180M_4MS_500_12:021",21,,1195.01,-1.58115,-6.432,0,0,1193,22738,2842,10616,12122
"180M_4MS_500_12:022",22,,237.868,-1.60807,-5.93215,0,0,236,22033,2754,10953,11080
"180M_4MS_500_12:023",23,,228.049,-1.61921,5.87435,0,0,226,21091,2636,9936,11155
"180M_4MS_500_12:024",24,,656.8,-1.56986,1.51001,0,0,655,24212,3026,10705,13507
"180M_4MS_500_12:025",25,,4053.05,-1.61223,-3.11103,0,0,4051,23513,2939,10565,12948
"180M_4MS_500_12:026",26,,3321.84,-1.60292,-1.54578,0,0,3320,17825,2228,9682,8143
"180M_4MS_500_12:027",27,,3296.05,-1.5723,-1.53312,0,0,3294,14416,1802,9964,4452
"180M_4MS_500_12:028",28,,342.183,-1.59028,5.38209,0,0,340,12664,1583,9292,3372
"180M_4MS_500_12:029",29,,1625.25,-1.56752,5.54136,0,0,1623,24978,3122,10694,14284
"180M_4MS_500_12:030",30,,3885.38,-1.55935,0.068655,0,0,3883,9290,1161,9484,-194
