mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios,cfo_int2,sto_estimate2
"1M_4MS_500_12:0",0,,3172.6,-1.54331,1.35498,0,0,3171,17349,2168,10934,6415
"1M_4MS_500_12:01",1,,184.359,-1.53812,10.8667,0,0,182,14384,1798,10934,3450
"1M_4MS_500_12:02",2,,607.119,-1.55426,8.42115,0,0,605,3982,497,9289,-5307
"1M_4MS_500_12:03",3,,3176.53,-1.56463,0.686727,0,0,3175,26551,3318,10938,15613
"1M_4MS_500_12:04",4,,3102.13,-1.5371,0.375836,0,0,3100,6237,779,10933,-4696
"1M_4MS_500_12:05",5,,2061.18,-1.53239,-0.497938,0,0,2059,6035,754,9286,-3251
"1M_4MS_500_12:06",6,,1417.3,-1.541,6.51321,0,0,1415,15620,1952,9289,6331
"1M_4MS_500_12:07",7,,888.431,-1.57394,7.74371,0,0,886,6007,750,9288,-3281
"1M_4MS_500_12:08",8,,3831.56,-1.56397,0.465173,0,0,3830,18025,2253,9287,8738
"1M_4MS_500_12:09",9,,3317.05,-1.56183,0.364216,0,0,3315,25202,3150,9285,15917
"1M_4MS_500_12:010",10,,235.367,-1.58407,9.56897,0,0,233,14737,1842,9286,5451
"1M_4MS_500_12:011",11,,723.925,-1.57481,-0.981332,0,0,722,4913,614,10934,-6021
"1M_4MS_500_12:012",12,,3058.58,-1.54228,0.196456,0,0,3057,10256,1282,10934,-678
"1M_4MS_500_12:013",13,,4094.09,-1.54055,0.545175,0,0,4092,18585,2323,9285,9300
"1M_4MS_500_12:014",14,,3800.72,-1.56353,2.07403,0,0,3799,18002,2250,10938,7064
"1M_4MS_500_12:015",15,,3931.29,-1.57266,1.50223,0,0,3929,18419,2302,10934,7485
"1M_4MS_500_12:016",16,,1203.9,-1.54207,9.05352,0,0,1202,15406,1925,9283,6123
"1M_4MS_500_12:017",17,,2532.82,-1.57222,7.67253,0,0,2531,16722,2090,9286,7436
"1M_4MS_500_12:018",18,,1626.68,-1.56051,7.21019,0,0,1625,16123,2015,9287,6836
"1M_4MS_500_12:019",19,,1600.81,-1.52492,7.83928,0,0,1599,16073,2009,9288,6785
"1M_4MS_500_12:020",20,,199.984,-1.55883,10.8227,0,0,198,14385,1798,9288,5097
"1M_4MS_500_12:021",21,,1171.83,-1.53697,8.86311,0,0,1170,15365,1920,9286,6079
"1M_4MS_500_12:022",22,,943.083,-1.53684,1.47692,0,0,941,6669,833,9286,-2617
"1M_4MS_500_12:023",23,,1480.56,-1.54514,7.53447,0,0,1479,15962,1995,9290,6672
"1M_4MS_500_12:024",24,,3735.21,-1.54304,0.250669,0,0,3733,17932,2241,9283,8649
"1M_4MS_500_12:025",25,,2045.02,-1.54692,0.00798225,0,0,2043,30534,3816,9286,21248
"1M_4MS_500_12:026",26,,3057.63,-1.56124,0.487051,0,0,3056,22938,2867,9290,13648
"1M_4MS_500_12:027",27,,3253.11,-1.53028,0.405734,0,0,3251,24424,3053,9289,15135
"1M_4MS_500_12:028",28,,3978.01,-1.55692,1.2997,0,0,3976,18174,2271,9286,8888
"1M_4MS_500_12:029",29,,3847.36,-1.58562,1.56624,0,0,3845,18037,2254,9286,8751
"1M_4MS_500_12:030",30,,3603.72,-1.57206,1.1182,0,0,3602,18083,2260,9288,8795
"1M_4MS_500_12:031",31,,635.161,-1.57719,7.83349,0,0,633,19271,2408,10934,8337
"1M_4MS_500_12:032",32,,2950.6,-1.59275,7.72093,0,0,2949,17148,2143,9290,7858
"1M_4MS_500_12:033",33,,3771.05,-1.54818,0.682015,0,0,3769,17970,2246,9286,8684
"1M_4MS_500_12:034",34,,3749.13,-1.57946,1.47031,0,0,3747,28520,3565,10930,17590
"1M_4MS_500_12:035",35,,870.025,-1.56421,8.61456,0,0,868,5357,669,9287,-3930
"1M_4MS_500_12:036",36,,3359.67,-1.54974,0.484814,0,0,3358,26002,3250,9286,16716
"1M_4MS_500_12:037",37,,1898.23,-1.56019,0.15968,0,0,1896,16388,2048,9288,7100
"1M_4MS_500_12:038",38,,1416.15,-1.57581,7.08305,0,0,1414,15603,1950,10930,4673
