mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios,cfo_int2,sto_estimate2
"30M_2MS_125_7:0",0,,54.0416,-0.187877,9.79595,0,0,54,319,19,584,-265
"30M_2MS_125_7:01",1,,11.0646,-0.178576,13.3203,0,0,11,1578,98,585,993
"30M_2MS_125_7:02",2,,68.8975,-0.174489,10.3349,0,0,69,216,13,584,-368
"30M_2MS_125_7:03",3,,8.34414,-0.187928,9.54753,0,0,8,1001,62,583,418
"30M_2MS_125_7:04",4,,17.7963,-0.179168,8.657,0,0,18,81,5,568,-487
"30M_2MS_125_7:05",5,,84.9582,-0.175684,13.2369,0,0,85,1068,66,585,483
"30M_2MS_125_7:06",6,,97.5635,-0.18461,13.3303,0,0,98,1079,67,568,511
"30M_2MS_125_7:07",7,,114.465,-0.180898,10.2378,0,0,114,904,56,582,322
"30M_2MS_125_7:08",8,,88.7883,-0.166555,9.65893,0,0,89,1110,69,568,542
"30M_2MS_125_7:09",9,,12.2823,-0.174963,8.60054,0,0,12,1114,69,585,529
"30M_2MS_125_7:010",10,,22.5963,-0.178954,13.0203,0,0,23,1272,79,584,688
"30M_2MS_125_7:011",11,,115.09,-0.177179,9.23106,0,0,115,1205,75,584,621
"30M_2MS_125_7:012",12,,115.473,-0.181083,13.1649,0,0,115,1368,85,566,802
"30M_2MS_125_7:013",13,,115.972,-0.168229,11.8946,0,0,116,925,57,568,357
"30M_2MS_125_7:014",14,,24.7142,-0.179494,12.929,0,0,25,144,9,568,-424
"30M_2MS_125_7:015",15,,88.8112,-0.175792,10.4592,0,0,89,282,17,568,-286
"30M_2MS_125_7:016",16,,123.727,-0.17184,8.95681,0,0,124,803,50,568,235
"30M_2MS_125_7:017",17,,42.651,-0.188652,9.24564,0,0,43,1560,97,586,974
"30M_2MS_125_7:018",18,,29.922,-0.179002,11.751,0,0,30,1012,63,568,444
"30M_2MS_125_7:019",19,,11.7686,-0.184369,10.323,0,0,12,374,23,568,-194
"30M_2MS_125_7:020",20,,20.3984,-0.182391,12.9653,0,0,20,1006,62,566,440
"30M_2MS_125_7:021",21,,105.013,-0.174707,10.3421,0,0,105,1129,70,585,544
"30M_2MS_125_7:022",22,,3.42121,-0.186511,9.32405,0,0,3,1243,77,566,677
"30M_2MS_125_7:023",23,,99.0778,-0.179525,10.3399,0,0,99,655,40,567,88
"30M_2MS_125_7:024",24,,26.7351,-0.177521,10.4307,0,0,27,1010,63,568,442
"30M_2MS_125_7:025",25,,71.626,-0.186211,14.2709,0,0,72,724,45,568,156
"30M_2MS_125_7:026",26,,78.4527,-0.182835,9.25984,0,0,78,819,51,589,230
"30M_2MS_125_7:027",27,,104.419,-0.184087,9.17976,0,0,104,1096,68,566,530
"30M_2MS_125_7:028",28,,15.5476,-1.19231,12.7521,0,0,15,1012,63,566,446
"30M_2MS_125_7:029",29,,126.871,-0.187793,9.51986,0,0,127,900,56,584,316
"30M_2MS_125_7:030",30,,24.0684,-0.183466,9.1352,0,0,24,1224,76,585,639
"30M_2MS_125_7:031",31,,7.93821,-0.183831,11.5748,0,0,8,1232,77,584,648
"30M_2MS_125_7:032",32,,36.025,-0.186325,11.844,0,0,36,101,6,584,-483
"30M_2MS_125_7:033",33,,105.197,-0.186137,12.2903,0,0,105,753,47,567,186
"30M_2MS_125_7:034",34,,34.0384,-0.179925,12.872,0,0,34,663,41,568,95
"30M_2MS_125_7:035",35,,23.5814,-0.1901,9.04486,0,0,24,1002,62,587,415
