mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios,cfo_int2,sto_estimate2
"180M_8MS_125_7:0",0,,120.238,-0.201247,5.81531,0,0,120,4836,75,2111,2725
"180M_8MS_125_7:01",1,,32.5336,-0.208174,8.66041,0,0,33,713,11,2118,-1405
"180M_8MS_125_7:02",2,,89.9036,-0.18307,8.1077,0,0,90,4915,76,2058,2857
"180M_8MS_125_7:03",3,,106.044,-0.196497,-0.278016,0,0,106,6689,104,2112,4577
"180M_8MS_125_7:04",4,,45.3074,-0.197327,2.18687,0,0,45,4271,66,2109,2162
"180M_8MS_125_7:05",5,,112.164,-0.201198,2.3257,0,0,112,793,12,2113,-1320
"180M_8MS_125_7:06",6,,79.4256,-0.206758,-1.73364,0,0,79,5906,92,2031,3875
"180M_8MS_125_7:07",7,,65.907,-0.189982,2.88889,0,0,66,4504,70,2125,2379
"180M_8MS_125_7:08",8,,123.318,-0.198133,7.15997,0,0,123,7387,115,2109,5278
"180M_8MS_125_7:09",9,,120.958,-0.193383,7.88563,0,0,121,5506,86,2124,3382
"180M_8MS_125_7:010",10,,13.0626,-0.212341,-1.81393,0,0,13,5578,87,2119,3459
"180M_8MS_125_7:011",11,,41.9258,-0.188769,8.46568,0,0,42,498,7,2124,-1626
"180M_8MS_125_7:012",12,,124.092,-0.195213,8.27308,0,0,124,7050,110,2113,4937
"180M_8MS_125_7:013",13,,25.4136,-0.199566,7.9172,0,0,25,8139,127,2115,6024
"180M_8MS_125_7:014",14,,5.49172,-0.194448,-6.79601,0,0,5,6968,108,2111,4857
"180M_8MS_125_7:015",15,,30.846,-0.191864,-0.540962,0,0,31,3347,52,2122,1225
"180M_8MS_125_7:016",16,,62.3283,-0.188301,-0.182599,0,0,62,778,12,2082,-1304
"180M_8MS_125_7:017",17,,44.7189,-0.218511,-2.157,0,0,45,6,0,2118,-2112
"180M_8MS_125_7:018",18,,22.12,-0.211341,-6.97989,0,0,22,3234,50,2108,1126
"180M_8MS_125_7:019",19,,75.3648,-0.198938,-0.905107,0,0,75,6605,103,2110,4495
"180M_8MS_125_7:020",20,,108.007,-0.188378,3.98454,0,0,108,4504,70,2120,2384
"180M_8MS_125_7:021",21,,6.69195,-0.230039,0.227995,0,0,7,5979,93,2122,3857
"180M_8MS_125_7:022",22,,41.8729,-0.201225,-3.88415,0,0,42,3780,59,2127,1653
"180M_8MS_125_7:023",23,,73.5703,-0.207661,-3.1897,0,0,74,1524,23,2112,-588
"180M_8MS_125_7:024",24,,80.5105,-0.215887,1.45043,0,0,81,2473,38,2108,365
"180M_8MS_125_7:025",25,,77.3715,-0.188535,-2.41609,0,0,77,1725,26,2117,-392
"180M_8MS_125_7:026",26,,29.628,-0.20413,0.967395,0,0,30,1956,30,2121,-165
"180M_8MS_125_7:027",27,,112.238,-0.202287,-0.0650263,0,0,112,7404,115,2111,5293
"180M_8MS_125_7:028",28,,78.2874,-0.204648,1.76467,0,0,78,3617,56,2112,1505
"180M_8MS_125_7:029",29,,125.819,-0.199924,2.30971,0,0,126,3327,51,2122,1205
"180M_8MS_125_7:030",30,,63.5802,-0.196689,1.4037,0,0,64,2703,42,2118,585
"180M_8MS_125_7:031",31,,10.0871,-0.193437,3.04586,0,0,10,2121,33,2112,9
"180M_8MS_125_7:032",32,,4.08309,-0.198471,3.33827,0,0,4,4062,63,2113,1949
"180M_8MS_125_7:033",33,,114.672,-0.203448,1.84854,0,0,115,2448,38,2122,326
"180M_8MS_125_7:034",34,,20.3436,-0.198491,1.05087,0,0,20,6846,106,2112,4734
"180M_8MS_125_7:035",35,,68.4281,-0.203858,2.23164,0,0,68,1057,16,2043,-986
"180M_8MS_125_7:036",36,,37.1166,-0.197906,-0.672943,0,0,37,1181,18,2108,-927
"180M_8MS_125_7:037",37,,17.1145,-0.194691,0.12245,0,0,17,1363,21,2111,-748
"180M_8MS_125_7:038",38,,46.1292,-0.196342,0.445792,0,0,46,497,7,2110,-1613
"180M_8MS_125_7:039",39,,67.2729,-0.198542,0.933806,0,0,67,6513,101,2110,4403
"180M_8MS_125_7:040",40,,35.3728,-0.201766,8.85155,0,0,35,1443,22,2111,-668
"180M_8MS_125_7:041",41,,39.2148,-0.198673,4.54098,0,0,39,4148,64,2104,2044
"180M_8MS_125_7:042",42,,36.0106,-0.194297,6.3082,0,0,36,4359,68,2122,2237
"180M_8MS_125_7:043",43,,52.7249,-0.183732,7.98214,0,0,53,5549,86,2124,3425
"180M_8MS_125_7:044",44,,95.9632,-0.194159,9.3654,0,0,96,4170,65,2123,2047
"180M_8MS_125_7:045",45,,5.05491,-0.202914,7.64159,0,0,5,6085,95,2114,3971
"180M_8MS_125_7:046",46,,81.9483,-0.190017,8.41011,0,0,82,6784,106,2123,4661
"180M_8MS_125_7:047",47,,31.444,-0.207116,8.08465,0,0,31,1087,16,2111,-1024
"180M_8MS_125_7:048",48,,63.4145,-0.205993,7.67657,0,0,63,4679,73,2041,2638
"180M_8MS_125_7:049",49,,112.447,-0.208586,7.72851,0,0,112,4970,77,2111,2859
"180M_8MS_125_7:050",50,,19.4893,-0.229215,-0.0449581,0,1,19,4099,64,2109,1990
"180M_8MS_125_7:051",51,,85.4481,-0.205151,7.83651,0,0,85,2514,39,2038,476
"180M_8MS_125_7:052",52,,65.9107,-0.188627,4.08623,0,0,66,6463,100,2119,4344
"180M_8MS_125_7:053",53,,34.3601,-0.20579,-0.419614,0,0,34,2852,44,2112,740
"180M_8MS_125_7:054",54,,42.1117,-0.197393,8.65921,0,0,42,2004,31,2102,-98
"180M_8MS_125_7:055",55,,54.0101,-0.197073,8.92915,0,0,54,484,7,2117,-1633
"180M_8MS_125_7:056",56,,7.78173,-0.202899,8.41072,0,0,8,3948,61,2051,1897
"180M_8MS_125_7:057",57,,80.3732,-0.202491,8.28938,0,0,80,876,13,2112,-1236
"180M_8MS_125_7:058",58,,38.3157,-0.202712,8.31505,0,0,38,4121,64,2106,2015
"180M_8MS_125_7:059",59,,109.893,-0.196512,8.31284,0,0,110,4196,65,2127,2069
"180M_8MS_125_7:060",60,,115.508,-1.2029,3.3148,0,0,115,6101,95,2111,3990
"180M_8MS_125_7:061",61,,6.77343,-0.19851,9.29902,0,0,7,7291,113,2123,5168
"180M_8MS_125_7:062",62,,121.901,-0.192178,7.68178,0,0,122,6983,109,2124,4859
"180M_8MS_125_7:063",63,,79.7853,-0.181885,6.57891,0,1,80,5221,81,2050,3171
"180M_8MS_125_7:064",64,,56.1751,-0.202661,7.52963,0,0,56,4494,70,2110,2384
"180M_8MS_125_7:065",65,,57.1965,-0.200416,6.51213,0,2,57,1909,29,2113,-204
"180M_8MS_125_7:066",66,,79.8222,-0.20475,3.74873,0,0,80,6185,96,2122,4063
"180M_8MS_125_7:067",67,,81.2605,-0.196465,1.06664,0,0,81,3519,54,2109,1410
"180M_8MS_125_7:068",68,,33.5644,-0.198858,8.2443,0,0,34,5622,87,2118,3504
"180M_8MS_125_7:069",69,,30.1778,-0.199151,-3.72874,0,3,30,6771,105,2108,4663
"180M_8MS_125_7:070",70,,43.2589,-0.201195,8.87326,0,0,43,4136,64,2107,2029
"180M_8MS_125_7:071",71,,97.3249,-0.203133,8.96177,0,0,97,5429,84,2107,3322
"180M_8MS_125_7:072",72,,126.349,-0.199612,8.39227,0,0,126,4722,73,2112,2610
"180M_8MS_125_7:073",73,,54.6176,-0.206491,6.90276,0,0,55,1596,24,2119,-523
"180M_8MS_125_7:074",74,,11.371,-0.19218,2.07805,0,0,11,5221,81,2110,3111
"180M_8MS_125_7:075",75,,16.7598,-0.20925,1.67811,0,0,17,5743,89,2124,3619
"180M_8MS_125_7:076",76,,49.5562,-0.204696,6.99728,0,0,50,6035,94,2039,3996
"180M_8MS_125_7:077",77,,31.0147,-0.189152,3.22042,0,0,31,2176,34,2118,58
"180M_8MS_125_7:078",78,,88.6205,-0.211992,1.92698,0,1,89,457,7,2119,-1662
"180M_8MS_125_7:079",79,,34.6454,-0.220535,7.26822,0,0,35,3213,50,2120,1093
"180M_8MS_125_7:080",80,,114.88,-0.191693,7.48045,0,0,115,3696,57,2018,1678
"180M_8MS_125_7:081",81,,79.6629,-0.137213,-0.481301,0,0,80,4322,67,2050,2272
"180M_8MS_125_7:082",82,,69.2847,-0.202786,7.42552,0,0,69,2809,43,2110,699
"180M_8MS_125_7:083",83,,68.0913,-0.196763,7.54842,0,0,68,3081,48,2113,968
"180M_8MS_125_7:084",84,,40.4811,-0.21901,3.42387,0,0,40,4212,65,2041,2171
"180M_8MS_125_7:085",85,,11.8237,-0.19674,7.40773,0,0,12,6465,101,2125,4340
"180M_8MS_125_7:086",86,,65.1155,-0.197212,7.50888,0,0,65,1959,30,2109,-150
"180M_8MS_125_7:087",87,,97.3115,-0.205197,7.41989,0,0,97,3977,62,2110,1867
"180M_8MS_125_7:088",88,,59.1146,-0.208192,-7.15795,0,0,59,7694,120,2110,5584
"180M_8MS_125_7:089",89,,36.4234,-0.201351,5.51457,0,1,36,7052,110,2110,4942
"180M_8MS_125_7:090",90,,83.145,-0.200802,6.57673,0,0,83,2084,32,2103,-19
"180M_8MS_125_7:091",91,,7.51009,-1.20777,4.742,0,0,7,4090,63,2112,1978
