mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios,cfo_int2,sto_estimate2
"120M_2MS_125_7:0",0,,35.3635,-0.184281,2.61686,0,0,35,384,24,590,-206
"120M_2MS_125_7:01",1,,116.803,-0.160944,10.7246,0,0,117,192,12,570,-378
"120M_2MS_125_7:02",2,,117.203,-0.176481,10.2264,0,0,117,1472,92,584,888
"120M_2MS_125_7:03",3,,70.4022,-0.197027,5.11734,0,0,70,453,28,587,-134
"120M_2MS_125_7:04",4,,27.0162,-0.170472,9.98916,0,0,27,1013,63,558,455
"120M_2MS_125_7:05",5,,105.643,-0.181327,8.39014,0,0,106,1091,68,570,521
"120M_2MS_125_7:06",6,,31.8559,-0.157602,9.23897,0,0,32,1308,81,585,723
"120M_2MS_125_7:07",7,,100.284,-0.179574,8.74063,0,0,100,754,47,567,187
"120M_2MS_125_7:08",8,,19.1641,-0.178444,7.99031,0,0,19,938,58,557,381
"120M_2MS_125_7:09",9,,27.3334,-0.184059,9.43595,0,0,27,98,6,567,-469
"120M_2MS_125_7:010",10,,87.5027,-0.186489,4.83047,0,0,88,443,27,589,-146
"120M_2MS_125_7:011",11,,100.936,-0.174412,8.08504,0,0,101,1090,68,565,525
"120M_2MS_125_7:012",12,,101.499,-1.19047,9.20971,0,0,101,1130,70,557,573
"120M_2MS_125_7:013",13,,123.974,-0.175856,8.9311,0,0,124,850,53,585,265
"120M_2MS_125_7:014",14,,106.831,-0.173614,8.66542,0,0,107,80,5,568,-488
"120M_2MS_125_7:015",15,,16.1782,-0.181914,8.64941,0,0,16,1000,62,584,416
"120M_2MS_125_7:016",16,,1.46345,-0.176817,7.56195,0,0,1,884,55,556,328
"120M_2MS_125_7:017",17,,58.7273,-0.168942,9.52953,0,0,59,1339,83,560,779
"120M_2MS_125_7:018",18,,105.65,-0.165365,0.715064,0,0,106,172,10,557,-385
"120M_2MS_125_7:020",20,,20.6813,-0.174024,1.00761,0,0,21,757,47,586,171
"120M_2MS_125_7:021",21,,14.2846,-0.180527,8.62422,0,0,14,1000,62,557,443
"120M_2MS_125_7:022",22,,127.46,-0.1884,6.90506,0,0,127,1124,70,564,560
"120M_2MS_125_7:023",23,,56.2916,-0.185376,5.61733,0,0,56,210,13,581,-371
"120M_2MS_125_7:024",24,,125.56,-1.19406,-1.01282,0,0,125,1580,98,583,997
"120M_2MS_125_7:025",25,,25.0096,-0.179663,4.48826,0,0,25,530,33,584,-54
"120M_2MS_125_7:026",26,,41.8602,-0.170849,-0.957725,0,0,42,1341,83,587,754
"120M_2MS_125_7:027",27,,20.0905,-0.182984,9.34361,0,0,20,940,58,585,355
"120M_2MS_125_7:028",28,,89.0226,-0.175705,9.51562,0,0,89,2001,125,584,1417
"120M_2MS_125_7:029",29,,98.9422,-0.178103,8.80187,0,0,99,979,61,569,410
"120M_2MS_125_7:030",30,,81.1248,-0.177259,7.85126,0,0,81,1765,110,569,1196
"120M_2MS_125_7:031",31,,1.63956,-1.18171,8.9559,0,0,1,1570,98,566,1004
"120M_2MS_125_7:032",32,,38.3829,-0.186394,9.12602,0,0,38,1063,66,566,497
"120M_2MS_125_7:033",33,,100.707,-0.170535,0.873356,0,0,101,970,60,585,385
"120M_2MS_125_7:034",34,,79.6543,-0.215383,5.54506,0,0,80,1999,124,584,1415
"120M_2MS_125_7:035",35,,118.094,-0.174056,-0.56453,0,0,118,1092,68,557,535
"120M_2MS_125_7:036",36,,9.26186,-0.17565,-3.77188,0,0,9,349,21,585,-236
"120M_2MS_125_7:037",37,,103.632,-0.100726,2.5264,0,0,104,1464,91,586,878
"120M_2MS_125_7:038",38,,69.6165,-0.185999,7.39642,0,0,70,1438,89,568,870
"120M_2MS_125_7:039",39,,37.0079,-0.173511,1.33308,0,0,37,797,49,584,213
"120M_2MS_125_7:040",40,,51.3174,-0.185367,5.31164,0,0,51,963,60,555,408
"120M_2MS_125_7:041",41,,117.663,-0.17116,4.28995,0,0,118,1827,114,585,1242
"120M_2MS_125_7:042",42,,7.92429,-0.182571,7.95227,0,0,8,356,22,569,-213
"120M_2MS_125_7:043",43,,84.7992,-0.1732,8.37598,0,0,85,219,13,568,-349
"120M_2MS_125_7:044",44,,102.762,-0.170003,10.2281,0,0,103,266,16,568,-302
"120M_2MS_125_7:045",45,,92.3096,-0.18511,3.45781,0,0,92,1549,96,558,991
"120M_2MS_125_7:046",46,,91.5142,-0.188409,10.2179,0,0,92,1145,71,587,558
"120M_2MS_125_7:047",47,,33.1984,-0.184414,5.46656,0,0,33,870,54,585,285
"120M_2MS_125_7:048",48,,114.084,-0.176384,4.67183,0,0,114,1616,101,586,1030
"120M_2MS_125_7:049",49,,122.499,-0.18624,8.00125,0,0,122,1040,65,568,472
"120M_2MS_125_7:050",50,,45.371,-0.179061,8.017,0,0,45,1030,64,563,467
"120M_2MS_125_7:051",51,,79.6306,-0.196848,9.84327,0,0,80,804,50,590,214
"120M_2MS_125_7:052",52,,117.665,-0.210878,6.38962,0,0,118,1694,105,568,1126
"120M_2MS_125_7:053",53,,50.4864,-0.18867,9.72386,0,0,50,1034,64,588,446
"120M_2MS_125_7:054",54,,106.294,-0.190546,10.6804,0,0,106,1495,93,566,929
"120M_2MS_125_7:055",55,,84.9689,-0.179399,10.2763,0,0,85,953,59,584,369
"120M_2MS_125_7:056",56,,17.0165,-0.183601,10.4084,0,0,17,1838,114,584,1254
"120M_2MS_125_7:057",57,,27.4894,-0.197566,10.6565,0,0,27,1349,84,566,783
"120M_2MS_125_7:058",58,,93.1489,-0.188577,4.3221,0,0,93,1067,66,568,499
"120M_2MS_125_7:059",59,,0.871909,-0.18518,10.1636,0,0,1,1140,71,586,554
"120M_2MS_125_7:060",60,,67.0418,-0.181637,9.30077,0,0,67,1983,123,585,1398
"120M_2MS_125_7:061",61,,9.03883,-0.181734,9.97705,0,0,9,264,16,585,-321
"120M_2MS_125_7:062",62,,96.8258,-0.170664,10.3885,0,0,97,1331,83,569,762
"120M_2MS_125_7:063",63,,4.9396,-0.188265,10.253,0,0,5,987,61,585,402
"120M_2MS_125_7:064",64,,95.2758,-0.183192,11.5076,0,0,95,1092,68,589,503
"120M_2MS_125_7:065",65,,7.58286,-1.18475,10.8802,0,0,7,1966,122,581,1385
"120M_2MS_125_7:066",66,,55.394,-0.187189,10.442,0,0,55,697,43,566,131
"120M_2MS_125_7:067",67,,127.606,-1.19346,7.6606,0,0,127,1563,97,583,980
"120M_2MS_125_7:068",68,,84.5009,-0.187529,4.61058,0,0,85,1764,110,569,1195
"120M_2MS_125_7:069",69,,88.1044,-0.172745,6.13291,0,0,88,516,32,593,-77
"120M_2MS_125_7:070",70,,94.8035,-0.170046,-1.66049,0,0,95,1326,82,569,757
"120M_2MS_125_7:072",72,,15.3316,-0.191423,4.55519,0,0,15,1680,105,583,1097
"120M_2MS_125_7:073",73,,91.6051,-0.193764,10.4146,0,0,92,324,20,568,-244
"120M_2MS_125_7:074",74,,123.966,-0.179359,10.0229,0,0,124,636,39,585,51
"120M_2MS_125_7:075",75,,64.6928,-0.173084,6.72437,0,0,65,1597,99,568,1029
"120M_2MS_125_7:076",76,,101.405,-0.20142,7.79078,0,0,101,1630,101,566,1064
"120M_2MS_125_7:077",77,,67.4431,-0.192518,7.29291,0,0,67,1397,87,568,829
