mensaje,numero,my_sto,sto,cfo,snr,crc_error,previous_overflow_sum,k_hat,k_hat2,espacios,cfo_int2,sto_estimate2
"30M_8MS_125_7:0",0,,111.695,-0.206494,9.40812,0,3,112,5926,92,2125,3801
"30M_8MS_125_7:01",1,,115.915,-0.192008,9.51347,0,0,116,6235,97,2126,4109
"30M_8MS_125_7:02",2,,55.342,-0.191411,9.30881,0,0,55,2321,36,2110,211
"30M_8MS_125_7:03",3,,78.1665,-0.185336,10.6003,0,0,78,1628,25,2111,-483
"30M_8MS_125_7:04",4,,96.2467,-0.193655,9.98017,0,0,96,1242,19,2112,-870
"30M_8MS_125_7:05",5,,74.6751,-0.198611,11.1109,0,0,75,757,11,2124,-1367
"30M_8MS_125_7:06",6,,14.9509,-0.189855,8.24979,0,0,15,4094,63,2127,1967
"30M_8MS_125_7:07",7,,83.04,-0.184495,9.33437,0,0,83,1075,16,2121,-1046
"30M_8MS_125_7:08",8,,81.0464,-0.190152,7.83895,0,0,81,4178,65,2115,2063
"30M_8MS_125_7:09",9,,112.164,-0.181283,9.98042,0,1,112,5950,92,2112,3838
"30M_8MS_125_7:010",10,,69.8968,-0.189697,9.42407,0,0,70,480,7,2119,-1639
"30M_8MS_125_7:011",11,,14.3646,-0.185334,9.12736,0,1,14,4090,63,2110,1980
"30M_8MS_125_7:012",12,,60.1542,-0.178248,9.1049,0,0,60,2879,44,2107,772
"30M_8MS_125_7:013",13,,91.0872,-0.188171,9.62711,0,0,91,4606,71,2113,2493
"30M_8MS_125_7:014",14,,52.1895,-0.185817,9.69925,0,0,52,4917,76,2108,2809
"30M_8MS_125_7:015",15,,38.1474,-0.193378,8.9405,0,1,38,7986,124,2108,5878
"30M_8MS_125_7:016",16,,116.061,-0.183497,10.3249,0,0,116,7995,124,2112,5883
"30M_8MS_125_7:017",17,,92.7124,-0.178988,8.67489,0,0,93,7041,110,2128,4913
"30M_8MS_125_7:018",18,,87.0406,-0.203401,8.87306,0,0,87,4408,68,2126,2282
"30M_8MS_125_7:019",19,,86.8972,-0.189483,9.79577,0,0,87,2158,33,2122,36
"30M_8MS_125_7:020",20,,5.3109,-0.198226,9.26754,0,1,5,7010,109,2110,4900
"30M_8MS_125_7:021",21,,122.006,-0.193637,10.294,0,0,122,5822,90,2122,3700
"30M_8MS_125_7:022",22,,113.637,-0.199699,10.9702,0,0,114,4203,65,2118,2085
"30M_8MS_125_7:023",23,,115.568,-1.20792,2.33338,0,0,115,3451,53,2112,1339
"30M_8MS_125_7:024",24,,67.9633,-0.191218,8.79968,0,0,68,6871,107,2111,4760
"30M_8MS_125_7:025",25,,56.5163,-0.196919,10.6456,0,1,57,5848,91,2119,3729
"30M_8MS_125_7:026",26,,55.3223,-0.202465,9.97303,0,1,55,7737,120,2112,5625
"30M_8MS_125_7:027",27,,92.9639,-0.185433,7.14567,0,0,93,8079,126,2118,5961
"30M_8MS_125_7:028",28,,39.2324,-0.206288,11.6246,0,0,39,252,3,2110,-1858
"30M_8MS_125_7:029",29,,67.7623,-0.192171,10.7209,0,0,68,2042,31,2119,-77
