mensaje,numero,rssi (dBm),snr (dB),size (bytes)
"80M 4MSPS:0",0,-89,10.25,11
"80M 4MSPS:01",1,-86,10.25,12
"80M 4MSPS:02",2,-86,11.25,12
"80M 4MSPS:03",3,-91,10.25,12
"80M 4MSPS:04",4,-94,9.50,12
"80M 4MSPS:05",5,-92,10.25,12
"80M 4MSPS:06",6,-89,11.00,12
"80M 4MSPS:07",7,-91,10.50,12
"80M 4MSPS:08",8,-87,11.00,12
"80M 4MSPS:09",9,-96,8.75,12
"80M 4MSPS:010",10,-100,6.50,13
"80M 4MSPS:012",12,-88,12.00,13
"80M 4MSPS:013",13,-86,11.75,13
"80M 4MSPS:014",14,-85,11.50,13
"80M 4MSPS:015",15,-92,10.50,13
"80M 4MSPS:016",16,-87,11.50,13
"80M 4MSPS:018",18,-84,11.50,13
"80M 4MSPS:019",19,-80,12.00,13
"80M 4MSPS:020",20,-81,11.00,13
"80M 4MSPS:021",21,-83,11.50,13
"80M 4MSPS:022",22,-87,11.50,13
"80M 4MSPS:023",23,-84,11.25,13
"80M 4MSPS:024",24,-88,12.00,13
"80M 4MSPS:025",25,-89,10.75,13
"80M 4MSPS:026",26,-89,11.50,13
"80M 4MSPS:027",27,-86,11.50,13
"80M 4MSPS:028",28,-87,11.00,13
"80M 4MSPS:029",29,-85,11.00,13
"80M 4MSPS:030",30,-82,11.75,13
"80M 4MSPS:031",31,-85,14.75,13
"80M 4MSPS:032",32,-85,11.25,13
"80M 4MSPS:033",33,-91,10.75,13
"80M 4MSPS:034",34,-88,11.75,13
"80M 4MSPS:035",35,-84,11.25,13
"80M 4MSPS:036",36,-91,10.00,13
"80M 4MSPS:037",37,-92,10.75,13
"80M 4MSPS:038",38,-84,11.75,13
"80M 4MSPS:040",40,-83,11.50,13
"80M 4MSPS:041",41,-82,11.25,13
"80M 4MSPS:042",42,-86,11.00,13
"80M 4MSPS:043",43,-82,11.25,13
"80M 4MSPS:044",44,-83,11.50,13
"80M 4MSPS:045",45,-89,11.00,13
"80M 4MSPS:046",46,-91,10.50,13
"80M 4MSPS:047",47,-87,11.00,13
"80M 4MSPS:049",49,-87,11.00,13
"80M 4MSPS:050",50,-87,10.75,13
"80M 4MSPS:051",51,-97,8.25,13
"80M 4MSPS:052",52,-92,11.00,13
"80M 4MSPS:054",54,-89,10.75,13
"80M 4MSPS:055",55,-86,11.25,13
"80M 4MSPS:056",56,-85,11.25,13
"80M 4MSPS:057",57,-88,10.75,13
"80M 4MSPS:058",58,-92,10.50,13
"80M 4MSPS:059",59,-88,10.50,13
"80M 4MSPS:060",60,-82,11.00,13
"80M 4MSPS:061",61,-84,10.75,13
"80M 4MSPS:062",62,-82,11.50,13
"80M 4MSPS:063",63,-81,11.50,13
"80M 4MSPS:064",64,-83,11.25,13
"80M 4MSPS:065",65,-86,10.75,13
"80M 4MSPS:066",66,-89,11.25,13
"80M 4MSPS:068",68,-87,11.50,13
"80M 4MSPS:069",69,-84,11.25,13
"80M 4MSPS:070",70,-86,11.00,13
"80M 4MSPS:071",71,-89,11.00,13
"80M 4MSPS:072",72,-86,10.75,13
"80M 4MSPS:073",73,-91,10.25,13
"80M 4MSPS:074",74,-91,10.25,13
"80M 4MSPS:076",76,-91,10.75,13
"80M 4MSPS:077",77,-83,11.25,13
"80M 4MSPS:079",79,-89,10.75,13
"80M 4MSPS:080",80,-84,11.50,13
"80M 4MSPS:081",81,-84,11.50,13
"80M 4MSPS:082",82,-89,10.75,13
"80M 4MSPS:083",83,-82,11.50,13
"80M 4MSPS:084",84,-81,11.50,13
"80M 4MSPS:085",85,-93,10.00,13
"80M 4MSPS:086",86,-84,11.50,13
"80M 4MSPS:088",88,-96,8.75,13
"80M 4MSPS:089",89,-82,11.25,13
"80M 4MSPS:090",90,-83,11.75,13
"80M 4MSPS:091",91,-86,11.25,13
"80M 4MSPS:092",92,-84,11.75,13
"80M 4MSPS:093",93,-84,11.50,13
"80M 4MSPS:094",94,-90,11.50,13
"80M 4MSPS:095",95,-87,10.75,13
"80M 4MSPS:096",96,-82,11.50,13
"80M 4MSPS:097",97,-83,11.25,13
"80M 4MSPS:098",98,-84,11.25,13
"80M 4MSPS:0100",100,-81,10.75,14
"80M 4MSPS:0101",101,-82,11.00,14
"80M 4MSPS:0102",102,-87,10.75,14
"80M 4MSPS:0103",103,-88,10.75,14
"80M 4MSPS:0104",104,-91,10.50,14
"80M 4MSPS:0105",105,-85,12.50,14
