mensaje,numero,rssi (dBm),snr (dB),size (bytes)
"120M 8MSPS:0",0,-85,10.00,12
"120M 8MSPS:01",1,-86,11.25,13
"120M 8MSPS:02",2,-85,11.25,13
"120M 8MSPS:03",3,-83,11.75,13
"120M 8MSPS:04",4,-84,11.50,13
"120M 8MSPS:05",5,-84,10.75,13
"120M 8MSPS:06",6,-85,11.50,13
"120M 8MSPS:07",7,-86,12.50,13
"120M 8MSPS:08",8,-86,10.75,13
"120M 8MSPS:09",9,-85,11.25,13
"120M 8MSPS:010",10,-87,11.00,14
"120M 8MSPS:011",11,-85,11.00,14
"120M 8MSPS:012",12,-85,11.00,14
"120M 8MSPS:013",13,-86,10.50,14
"120M 8MSPS:014",14,-86,10.75,14
"120M 8MSPS:015",15,-85,10.75,14
"120M 8MSPS:016",16,-85,10.75,14
"120M 8MSPS:017",17,-84,11.00,14
"120M 8MSPS:018",18,-83,10.75,14
"120M 8MSPS:019",19,-85,11.00,14
"120M 8MSPS:020",20,-84,11.00,14
"120M 8MSPS:021",21,-83,11.50,14
"120M 8MSPS:022",22,-82,12.00,14
"120M 8MSPS:023",23,-85,11.00,14
"120M 8MSPS:024",24,-83,11.25,14
"120M 8MSPS:025",25,-85,11.00,14
"120M 8MSPS:026",26,-84,11.25,14
"120M 8MSPS:027",27,-87,11.00,14
"120M 8MSPS:028",28,-86,10.50,14
"120M 8MSPS:029",29,-85,11.25,14
"120M 8MSPS:030",30,-84,11.75,14
"120M 8MSPS:031",31,-84,11.50,14
"120M 8MSPS:032",32,-82,11.50,14
"120M 8MSPS:033",33,-84,12.00,14
"120M 8MSPS:034",34,-83,11.25,14
"120M 8MSPS:035",35,-84,11.25,14
"120M 8MSPS:036",36,-85,11.25,14
"120M 8MSPS:037",37,-84,11.75,14
"120M 8MSPS:038",38,-84,11.00,14
"120M 8MSPS:039",39,-82,10.50,14
"120M 8MSPS:040",40,-84,12.00,14
"120M 8MSPS:041",41,-83,11.25,14
"120M 8MSPS:042",42,-83,11.25,14
"120M 8MSPS:043",43,-83,11.00,14
"120M 8MSPS:044",44,-84,10.75,14
"120M 8MSPS:045",45,-86,10.75,14
"120M 8MSPS:046",46,-87,10.75,14
"120M 8MSPS:047",47,-85,10.75,14
"120M 8MSPS:048",48,-87,11.50,14
"120M 8MSPS:049",49,-86,10.50,14
"120M 8MSPS:050",50,-87,11.50,14
"120M 8MSPS:051",51,-82,11.25,14
"120M 8MSPS:053",53,-82,11.25,14
"120M 8MSPS:054",54,-83,11.50,14
"120M 8MSPS:055",55,-83,11.75,14
"120M 8MSPS:056",56,-85,11.00,14
"120M 8MSPS:057",57,-83,11.00,14
"120M 8MSPS:058",58,-81,11.00,14
"120M 8MSPS:059",59,-81,11.50,14
"120M 8MSPS:060",60,-85,11.00,14
"120M 8MSPS:061",61,-82,11.75,14
"120M 8MSPS:062",62,-86,10.75,14
"120M 8MSPS:063",63,-84,11.50,14
"120M 8MSPS:064",64,-83,11.00,14
"120M 8MSPS:065",65,-84,11.25,14
"120M 8MSPS:066",66,-85,11.25,14
"120M 8MSPS:067",67,-85,11.50,14
"120M 8MSPS:068",68,-88,11.00,14
"120M 8MSPS:069",69,-84,12.25,14
"120M 8MSPS:070",70,-84,11.25,14
"120M 8MSPS:071",71,-84,10.75,14
"120M 8MSPS:072",72,-86,10.75,14
"120M 8MSPS:073",73,-88,10.75,14
"120M 8MSPS:074",74,-86,11.00,14
"120M 8MSPS:075",75,-85,11.00,14
"120M 8MSPS:076",76,-84,11.00,14
"120M 8MSPS:077",77,-85,12.00,14
"120M 8MSPS:078",78,-84,11.00,14
"120M 8MSPS:079",79,-85,10.50,14
"120M 8MSPS:080",80,-84,11.75,14
"120M 8MSPS:081",81,-82,11.00,14
"120M 8MSPS:082",82,-83,11.50,14
"120M 8MSPS:083",83,-84,11.00,14
"120M 8MSPS:084",84,-83,11.25,14
"120M 8MSPS:085",85,-83,11.25,14
"120M 8MSPS:086",86,-83,10.75,14
"120M 8MSPS:087",87,-85,10.50,14
"120M 8MSPS:088",88,-81,11.25,14
"120M 8MSPS:089",89,-83,10.75,14
"120M 8MSPS:090",90,-82,11.75,14
"120M 8MSPS:091",91,-83,11.50,14
"120M 8MSPS:092",92,-84,11.25,14
"120M 8MSPS:093",93,-83,11.50,14
"120M 8MSPS:094",94,-83,11.25,14
"120M 8MSPS:095",95,-83,11.25,14
"120M 8MSPS:096",96,-84,13.25,14
"120M 8MSPS:097",97,-84,10.75,14
"120M 8MSPS:098",98,-82,11.50,14
"120M 8MSPS:099",99,-85,11.50,14
"120M 8MSPS:0100",100,-86,10.25,15
"120M 8MSPS:0101",101,-85,10.50,15
"120M 8MSPS:0102",102,-83,10.75,15
"120M 8MSPS:0103",103,-82,10.25,15
"120M 8MSPS:0104",104,-83,11.75,15
