mensaje,numero,rssi (dBm),snr (dB),size (bytes)
"120M 4MSPS:0",0,-85,10.00,12
"120M 4MSPS:01",1,-82,11.00,13
"120M 4MSPS:02",2,-81,11.50,13
"120M 4MSPS:04",4,-83,11.00,13
"120M 4MSPS:05",5,-84,11.75,13
"120M 4MSPS:06",6,-81,11.75,13
"120M 4MSPS:07",7,-84,11.25,13
"120M 4MSPS:09",9,-81,11.00,13
"120M 4MSPS:010",10,-85,11.75,14
"120M 4MSPS:011",11,-85,11.25,14
"120M 4MSPS:012",12,-85,11.25,14
"120M 4MSPS:014",14,-82,10.75,14
"120M 4MSPS:015",15,-83,11.25,14
"120M 4MSPS:016",16,-85,11.00,14
"120M 4MSPS:017",17,-85,10.75,14
"120M 4MSPS:018",18,-84,11.50,14
"120M 4MSPS:019",19,-84,11.50,14
"120M 4MSPS:020",20,-83,10.75,14
"120M 4MSPS:021",21,-84,11.50,14
"120M 4MSPS:022",22,-82,11.25,14
"120M 4MSPS:024",24,-85,10.75,14
"120M 4MSPS:025",25,-84,10.75,14
"120M 4MSPS:026",26,-84,11.75,14
"120M 4MSPS:027",27,-85,10.75,14
"120M 4MSPS:028",28,-85,11.00,14
"120M 4MSPS:029",29,-86,11.00,14
"120M 4MSPS:030",30,-85,11.00,14
"120M 4MSPS:031",31,-85,11.00,14
"120M 4MSPS:032",32,-85,11.50,14
"120M 4MSPS:033",33,-86,10.50,14
"120M 4MSPS:034",34,-87,10.50,14
"120M 4MSPS:035",35,-86,10.75,14
"120M 4MSPS:036",36,-83,11.00,14
"120M 4MSPS:037",37,-83,11.00,14
"120M 4MSPS:038",38,-83,11.25,14
"120M 4MSPS:039",39,-85,11.25,14
"120M 4MSPS:040",40,-87,11.25,14
"120M 4MSPS:041",41,-84,11.25,14
"120M 4MSPS:042",42,-85,10.75,14
"120M 4MSPS:043",43,-85,11.00,14
"120M 4MSPS:044",44,-85,11.50,14
"120M 4MSPS:045",45,-84,11.25,14
"120M 4MSPS:046",46,-84,10.75,14
"120M 4MSPS:047",47,-85,11.00,14
"120M 4MSPS:048",48,-83,11.50,14
"120M 4MSPS:049",49,-83,12.00,14
"120M 4MSPS:050",50,-84,11.25,14
"120M 4MSPS:051",51,-84,11.25,14
"120M 4MSPS:052",52,-83,11.00,14
"120M 4MSPS:053",53,-85,11.00,14
"120M 4MSPS:054",54,-85,10.50,14
"120M 4MSPS:055",55,-84,10.25,14
"120M 4MSPS:056",56,-84,10.75,14
"120M 4MSPS:057",57,-84,10.50,14
"120M 4MSPS:058",58,-84,11.75,14
"120M 4MSPS:059",59,-84,11.25,14
"120M 4MSPS:060",60,-84,10.75,14
"120M 4MSPS:061",61,-85,11.75,14
"120M 4MSPS:062",62,-84,11.50,14
"120M 4MSPS:063",63,-86,10.75,14
"120M 4MSPS:064",64,-86,10.75,14
"120M 4MSPS:065",65,-84,10.75,14
"120M 4MSPS:066",66,-84,11.00,14
"120M 4MSPS:067",67,-84,11.00,14
"120M 4MSPS:068",68,-85,11.50,14
"120M 4MSPS:069",69,-83,11.25,14
"120M 4MSPS:070",70,-84,10.75,14
"120M 4MSPS:071",71,-84,10.75,14
"120M 4MSPS:072",72,-86,12.00,14
"120M 4MSPS:073",73,-83,10.00,14
"120M 4MSPS:074",74,-82,10.50,14
"120M 4MSPS:075",75,-84,11.00,14
"120M 4MSPS:076",76,-83,11.25,14
"120M 4MSPS:077",77,-84,11.25,14
"120M 4MSPS:078",78,-83,11.75,14
"120M 4MSPS:079",79,-81,11.50,14
"120M 4MSPS:080",80,-82,11.50,14
"120M 4MSPS:081",81,-83,11.50,14
"120M 4MSPS:082",82,-84,11.25,14
"120M 4MSPS:083",83,-85,11.00,14
"120M 4MSPS:084",84,-83,11.50,14
"120M 4MSPS:085",85,-84,11.25,14
"120M 4MSPS:086",86,-85,10.75,14
"120M 4MSPS:087",87,-83,10.75,14
"120M 4MSPS:088",88,-82,11.50,14
"120M 4MSPS:089",89,-82,11.75,14
"120M 4MSPS:090",90,-85,11.00,14
"120M 4MSPS:091",91,-84,11.50,14
"120M 4MSPS:092",92,-85,11.00,14
"120M 4MSPS:093",93,-84,11.50,14
"120M 4MSPS:094",94,-86,10.75,14
"120M 4MSPS:095",95,-84,11.00,14
"120M 4MSPS:096",96,-84,11.00,14
"120M 4MSPS:097",97,-86,10.50,14
"120M 4MSPS:098",98,-84,11.25,14
"120M 4MSPS:099",99,-84,11.25,14
"120M 4MSPS:0100",100,-84,11.00,15
"120M 4MSPS:0101",101,-84,10.75,15
"120M 4MSPS:0102",102,-85,10.75,15
"120M 4MSPS:0103",103,-84,10.75,15
"120M 4MSPS:0104",104,-84,10.50,15
