mensaje,numero,rssi (dBm),snr (dB),size (bytes)
"40M 8MSPS:0",0,-70,10.50,11
"40M 8MSPS:01",1,-71,10.25,12
"40M 8MSPS:02",2,-71,10.50,12
"40M 8MSPS:03",3,-72,10.25,12
"40M 8MSPS:04",4,-70,11.00,12
"40M 8MSPS:05",5,-73,10.50,12
"40M 8MSPS:06",6,-70,10.25,12
"40M 8MSPS:07",7,-71,10.75,12
"40M 8MSPS:08",8,-71,10.50,12
"40M 8MSPS:09",9,-73,10.75,12
"40M 8MSPS:010",10,-69,12.00,13
"40M 8MSPS:013",13,-70,11.25,13
"40M 8MSPS:014",14,-70,10.75,13
"40M 8MSPS:015",15,-71,11.00,13
"40M 8MSPS:016",16,-74,11.50,13
"40M 8MSPS:017",17,-72,11.25,13
"40M 8MSPS:018",18,-72,11.50,13
"40M 8MSPS:019",19,-72,11.25,13
"40M 8MSPS:020",20,-72,11.00,13
"40M 8MSPS:021",21,-72,11.25,13
"40M 8MSPS:023",23,-71,11.00,13
"40M 8MSPS:024",24,-72,11.75,13
"40M 8MSPS:025",25,-71,11.25,13
"40M 8MSPS:026",26,-71,11.50,13
"40M 8MSPS:027",27,-71,11.50,13
"40M 8MSPS:029",29,-72,11.25,13
"40M 8MSPS:030",30,-72,10.75,13
"40M 8MSPS:031",31,-72,11.25,13
"40M 8MSPS:032",32,-72,10.75,13
"40M 8MSPS:033",33,-71,11.50,13
"40M 8MSPS:034",34,-72,11.00,13
"40M 8MSPS:035",35,-72,11.75,13
"40M 8MSPS:036",36,-71,11.25,13
"40M 8MSPS:037",37,-70,11.25,13
"40M 8MSPS:038",38,-69,12.00,13
"40M 8MSPS:039",39,-69,11.50,13
"40M 8MSPS:040",40,-71,11.25,13
"40M 8MSPS:041",41,-71,10.75,13
"40M 8MSPS:042",42,-70,11.50,13
"40M 8MSPS:043",43,-71,10.75,13
"40M 8MSPS:044",44,-70,10.75,13
"40M 8MSPS:045",45,-69,11.00,13
"40M 8MSPS:046",46,-69,11.50,13
"40M 8MSPS:047",47,-70,11.00,13
"40M 8MSPS:048",48,-72,11.00,13
"40M 8MSPS:049",49,-70,10.75,13
"40M 8MSPS:050",50,-71,11.00,13
"40M 8MSPS:051",51,-72,11.25,13
"40M 8MSPS:052",52,-71,11.00,13
"40M 8MSPS:053",53,-72,11.00,13
"40M 8MSPS:054",54,-72,10.75,13
"40M 8MSPS:055",55,-70,10.75,13
"40M 8MSPS:056",56,-72,10.75,13
"40M 8MSPS:057",57,-72,10.75,13
"40M 8MSPS:058",58,-71,11.25,13
"40M 8MSPS:059",59,-71,11.50,13
"40M 8MSPS:060",60,-72,11.00,13
"40M 8MSPS:061",61,-71,10.75,13
"40M 8MSPS:062",62,-72,10.75,13
"40M 8MSPS:063",63,-71,10.75,13
"40M 8MSPS:064",64,-72,11.00,13
"40M 8MSPS:065",65,-73,11.25,13
"40M 8MSPS:066",66,-71,10.50,13
"40M 8MSPS:067",67,-72,10.75,13
"40M 8MSPS:068",68,-72,10.75,13
"40M 8MSPS:069",69,-72,10.75,13
"40M 8MSPS:070",70,-71,11.25,13
"40M 8MSPS:071",71,-72,11.75,13
"40M 8MSPS:072",72,-72,11.00,13
"40M 8MSPS:073",73,-71,10.75,13
"40M 8MSPS:074",74,-71,10.75,13
"40M 8MSPS:075",75,-72,11.50,13
"40M 8MSPS:076",76,-75,11.50,13
"40M 8MSPS:077",77,-70,14.50,13
"40M 8MSPS:078",78,-72,11.75,13
"40M 8MSPS:079",79,-71,11.00,13
"40M 8MSPS:080",80,-70,11.75,13
"40M 8MSPS:081",81,-70,12.00,13
"40M 8MSPS:082",82,-71,12.00,13
"40M 8MSPS:083",83,-70,13.25,13
"40M 8MSPS:084",84,-69,11.75,13
"40M 8MSPS:085",85,-69,11.25,13
"40M 8MSPS:086",86,-69,11.50,13
"40M 8MSPS:087",87,-69,11.75,13
"40M 8MSPS:088",88,-68,12.00,13
"40M 8MSPS:089",89,-68,11.50,13
"40M 8MSPS:090",90,-68,12.00,13
"40M 8MSPS:091",91,-68,11.00,13
"40M 8MSPS:092",92,-69,11.50,13
"40M 8MSPS:093",93,-69,11.75,13
"40M 8MSPS:094",94,-69,11.50,13
"40M 8MSPS:095",95,-70,11.00,13
"40M 8MSPS:096",96,-68,12.00,13
"40M 8MSPS:097",97,-69,11.75,13
"40M 8MSPS:098",98,-71,11.75,13
"40M 8MSPS:099",99,-72,11.25,13
"40M 8MSPS:0100",100,-72,11.00,14
"40M 8MSPS:0101",101,-75,10.75,14
"40M 8MSPS:0102",102,-71,11.00,14
"40M 8MSPS:0103",103,-68,11.50,14
"40M 8MSPS:0104",104,-68,11.50,14
"40M 8MSPS:0105",105,-68,11.25,14
"40M 8MSPS:0106",106,-68,12.00,14
